FECHA,ATM,AGU,LDO,MIR,CEN,OBL,PIN,TLA,SFE,VAL
2017-01-01,16.04166666666667,26.125000000000014,23.458333333333343,21.708333333333343,16.083333333333343,13.708333333333337,26.166666666666682,19.416666666666682,22.00000000000001,16.375000000000004
2017-01-02,19.812500000000007,30.58333333333335,29.083333333333343,25.70833333333334,23.979166666666675,17.708333333333336,28.604166666666686,26.479166666666686,23.08333333333334,20.583333333333336
2017-01-03,23.625000000000007,35.84722222222223,31.583333333333346,29.652777777777782,28.97222222222222,22.333333333333332,34.08333333333335,30.111111111111125,24.69444444444445,27.22222222222222
2017-01-04,25.635416666666675,42.79166666666667,36.375000000000014,33.04166666666668,32.552083333333336,23.781250000000004,39.23958333333334,34.55208333333334,28.364583333333343,29.427083333333332
2017-01-05,25.88333333333334,45.78333333333334,37.158333333333346,33.491666666666674,33.63333333333333,23.283333333333335,39.08333333333334,34.10833333333334,28.941666666666677,30.766666666666673
2017-01-06,26.006944444444454,46.013888888888886,37.56250000000002,33.3888888888889,34.52083333333334,23.29166666666667,38.51388888888889,33.89583333333334,28.87500000000001,32.22916666666668
2017-01-07,25.815476190476197,47.55952380952382,38.08928571428573,33.46428571428572,33.90476190476191,23.065476190476197,39.13690476190477,33.79166666666668,29.357142857142865,32.630952380952394
2017-01-08,25.63095238095239,51.37500000000001,38.01785714285716,33.52380952380953,34.00000000000001,23.005952380952383,38.5357142857143,33.57142857142858,29.178571428571434,33.565476190476204
2017-01-09,24.988095238095248,53.773809523809526,36.68452380952382,33.380952380952394,32.97619047619048,22.726190476190478,38.21428571428572,32.00595238095239,29.315476190476197,34.70238095238097
2017-01-10,25.107142857142865,54.23809523809525,37.40833333333334,33.35119047619049,32.92857142857143,22.46428571428572,38.32738095238097,31.904761904761916,29.910714285714295,36.238095238095255
2017-01-11,25.9404761904762,52.85119047619048,37.3763784461153,33.16666666666668,33.964285714285715,23.779761904761912,37.26785714285715,31.82738095238096,29.363095238095244,38.333333333333364
2017-01-12,27.720238095238102,52.82738095238095,37.50733082706768,33.67261904761906,35.029761904761905,25.488095238095248,38.13690476190477,33.17261904761906,29.63095238095239,40.99404761904764
2017-01-13,28.333333333333343,53.68452380952382,37.0311403508772,33.92857142857144,34.57142857142857,26.065476190476197,38.52380952380953,33.369047619047635,29.678571428571438,41.66666666666669
2017-01-14,28.113095238095244,51.99404761904762,36.23947368421054,33.60714285714287,34.19642857142857,25.93452380952382,37.89285714285715,32.90476190476192,29.089285714285722,41.3511904761905
2017-01-15,29.63690476190477,50.49999999999999,38.162092731829574,34.755952380952394,35.946428571428584,27.29166666666668,39.79166666666667,34.2154761904762,29.98809523809525,42.74404761904765
2017-01-16,29.89285714285715,48.482142857142854,38.662092731829574,33.851190476190496,36.27976190476191,26.803571428571445,39.39880952380953,34.41785714285716,29.333333333333346,42.410714285714306
2017-01-17,27.285714285714292,46.410714285714285,35.71209273182958,31.32738095238096,33.130952380952394,24.398809523809536,36.000000000000014,31.689078674948252,27.27976190476192,37.73214285714288
2017-01-18,24.065476190476193,43.48214285714286,31.273809523809522,27.946428571428584,28.250000000000014,20.922619047619058,32.47619047619048,27.32598343685302,24.761904761904773,33.28571428571431
2017-01-19,20.136904761904766,39.63095238095239,28.21428571428571,24.779761904761912,23.886904761904777,17.827380952380963,28.767857142857153,23.67122153209111,22.297619047619058,27.803571428571455
2017-01-20,17.702380952380953,36.51785714285715,25.607142857142858,21.64285714285715,21.273809523809536,15.952380952380965,25.51190476190477,21.061627694556098,20.648809523809536,23.666666666666693
2017-01-21,17.148809523809522,35.15476190476192,24.441017316017312,19.45833333333334,20.22619047619049,15.47619047619049,23.4404761904762,19.98424674217514,19.833333333333343,21.93452380952384
2017-01-22,17.00595238095238,35.05357142857143,24.7267316017316,19.45238095238096,20.690476190476204,15.64880952380954,23.392857142857153,20.64377055169895,20.01785714285715,22.297619047619072
2017-01-23,18.18452380952381,36.404761904761905,25.018398268398265,20.851190476190485,21.988095238095248,17.363095238095255,24.767857142857153,21.54258007550847,21.005952380952387,23.148809523809547
2017-01-24,19.916666666666664,37.0266563146998,26.351731601731597,21.529761904761912,23.92960662525881,18.738095238095255,26.22023809523811,22.896358543417378,22.57556935817806,24.10714285714288
2017-01-25,20.619047619047617,37.37085921325051,27.595779220779214,22.289078674948247,25.04373706004142,19.24741200828159,27.006728778467927,24.12850140056024,23.56961697722568,24.477225672877868
2017-01-26,22.410714285714285,39.07324016563147,28.94696969696969,23.634316770186345,26.817546583850945,20.699792960662542,28.72696687370602,25.735644257703093,24.914855072463773,27.64984472049692
2017-01-27,23.89880952380952,40.69228778467909,30.89935064935064,25.211697722567298,28.43659420289857,22.039078674948254,30.5781573498965,27.619047619047635,26.63509316770187,30.381987577639777
2017-01-28,24.416666666666668,41.614906832298125,31.72619047619047,26.42003105590063,29.29968944099381,22.52122153209111,31.465062111801263,28.58928571428573,27.25414078674949,30.941511387163587
2017-01-29,22.803571428571427,41.162525879917176,29.553571428571423,24.76526915113872,26.74611801242238,21.050983436853016,29.375776397515544,26.375000000000014,25.956521739130437,28.370082815735017
2017-01-30,20.70238095238095,40.222049689440986,28.404761904761898,23.372412008281582,24.055641821946192,19.217650103519684,27.191252587991734,24.648809523809536,25.379140786749485,26.346273291925492
2017-01-31,19.773809523809522,38.97515527950309,28.071428571428562,23.592650103519677,23.13198757763977,18.390269151138735,27.11387163561078,24.285714285714292,24.202380952380953,27.090320910973112
