FECHA,ATM,AGU,LDO,MIR,CEN,OBL,PIN,TLA,SFE,VAL
2017-01-01,1045.5833333333333,789.2916666666666,1099.9583333333333,1582.5416666666667,,874.7500000000002,1948.3333333333335,1037.041666666667,1571.791666666667,876.6250000000003
2017-01-02,1184.3333333333333,812.1875,1135.0208333333333,1609.0416666666667,716.8333333333334,971.8125000000002,1785.2708333333333,1286.354166666667,1582.9166666666667,1069.916666666667
2017-01-03,1359.8194444444446,930.1666666666666,1159.986111111111,1683.972222222222,1189.291666666667,1086.4027777777778,1915.8333333333335,1445.0138888888891,1683.777777777778,1217.902777777778
2017-01-04,1410.65625,1019.6874999999999,1211.0208333333335,1725.3749999999995,881.041666666667,1113.4479166666667,2024.072916666667,1507.7291666666667,1862.9791666666667,1273.2187500000002
2017-01-05,1386.825,1017.325,1181.8916666666669,1671.6916666666664,1057.3333333333337,1112.125,2020.7416666666668,1464.6166666666668,1821.5583333333334,1306.991666666667
2017-01-06,1390.4097222222222,1030.9375,1211.0555555555557,1645.6180555555552,1134.1083333333336,1135.2499999999998,1918.3125000000005,1491.1250000000002,1877.3263888888891,1340.7222222222224
2017-01-07,1387.1309523809523,1055.4583333333335,1213.220238095238,1639.988095238095,1125.1319444444448,1151.2440476190473,1910.880952380953,1488.7202380952383,1868.714285714286,1346.5892857142858
2017-01-08,1386.5416666666665,1072.404761904762,1136.3392857142858,1571.35119047619,1114.3392857142858,1159.4642857142853,1761.9107142857147,1458.8035714285713,1814.6607142857144,1413.2083333333335
2017-01-09,1403.107142857143,1078.3095238095239,1053.5357142857144,1490.6845238095234,1034.0059523809523,1209.0833333333328,1722.0357142857147,1368.470238095238,1837.8750000000002,1439.6785714285713
2017-01-10,1425.2202380952378,1028.3392857142858,1054.2404761904763,1479.285714285714,929.3819444444443,1266.988095238095,1748.5178571428576,1355.2619047619046,1881.2083333333335,1511.2142857142856
2017-01-11,1455.5892857142853,1008.8928571428572,1005.3128446115287,1503.8095238095236,1062.35,1284.0416666666667,1759.761904761905,1370.0119047619044,1851.1964285714287,1574.5833333333333
2017-01-12,1558.339285714285,1097.2738095238094,1042.4616541353382,1516.3690476190475,931.3854166666666,1400.404761904762,1739.2500000000002,1423.619047619047,1884.3630952380952,1664.875
2017-01-13,1604.3988095238092,1157.857142857143,1004.9557017543859,1521.8869047619046,761.4444444444445,1416.4642857142858,1758.3511904761906,1404.4940476190473,1796.0833333333333,1732.6369047619046
2017-01-14,1581.1428571428564,1138.8809523809525,991.0866541353382,1537.6071428571427,602.0416666666667,1443.4285714285716,1767.7440476190475,1375.6607142857138,1803.9940476190475,1786.125
2017-01-15,1628.6964285714282,1147.0892857142856,1100.7116541353382,1574.3095238095236,154.5000000000005,1521.166666666667,2012.261904761905,1436.9071428571424,1967.4285714285716,1837.9880952380952
2017-01-16,1607.0952380952376,1158.7857142857142,1181.4318922305763,1637.75,,1470.7976190476193,2054.464285714286,1458.5797619047619,1937.8571428571427,1868.7738095238094
2017-01-17,1500.291666666666,1170.0535714285713,1096.8045112781954,1550.3809523809523,,1359.2619047619048,1854.3273809523814,1340.4982401656316,1785.6726190476188,1809.6369047619046
2017-01-18,1378.3392857142853,1109.1309523809525,1050.2380952380952,1401.863095238095,,1301.047619047619,1631.8869047619053,1188.629192546584,1632.5357142857142,1757.7738095238096
2017-01-19,1210.1190476190473,961.1309523809525,953.0535714285714,1319.190476190476,836.2000000000005,1128.1130952380952,1484.416666666667,1052.3732401656316,1503.8154761904764,1659.3630952380954
2017-01-20,1095.7142857142856,825.2797619047619,903.1773809523809,1210.7321428571427,522.2875000000001,1050.8988095238094,1365.3869047619053,925.7895566922423,1433.625,1570.7380952380954
2017-01-21,1104.952380952381,775.2976190476192,854.1335497835496,1097.9761904761901,726.3305555555557,997.8511904761904,1253.6904761904766,885.9800328827185,1376.0714285714287,1527.2380952380952
2017-01-22,1111.654761904762,703.7440476190477,822.2585497835497,1155.928571428571,1135.1333333333334,1026.4166666666665,1204.4880952380956,1008.1383662160517,1327.9999999999998,1516.3809523809523
2017-01-23,1191.9345238095239,701.5178571428572,745.4133116883116,1057.5714285714282,975.9233333333335,1105.4404761904764,1312.1904761904764,1012.7871757398615,1388.3869047619048,1520.6666666666665
2017-01-24,1255.7738095238094,756.0036231884058,779.9728354978354,959.3095238095234,1002.5665458937199,1179.011904761905,1345.4226190476193,1041.7496498599442,1467.81884057971,1501.0476190476188
