FECHA,ATM,AGU,LDO,MIR,CEN,OBL,PIN,TLA,SFE,VAL
2017-01-01,44.52916666666667,28.666666666666675,50.95416666666668,114.74875000000002,40.57083333333333,40.19583333333333,126.0583333333333,48.94583333333333,116.10058333333332,
2017-01-02,45.78333333333333,30.90416666666667,52.71666666666667,108.99633152173912,40.42916666666667,43.79166666666666,115.26249999999999,52.072916666666664,110.89135416666666,
2017-01-03,52.18611111111111,36.987500000000004,55.46666666666667,116.0072765700483,44.93333333333334,46.33472222222222,134.02777777777774,55.694444444444436,126.105,
2017-01-04,53.75833333333333,40.41458333333333,59.731249999999996,130.53045742753622,49.053125,48.70729166666666,145.740625,61.82395833333332,143.30230208333333,
2017-01-05,51.6625,40.9675,59.19166666666666,128.75494927536232,49.76083333333334,48.604166666666664,144.48499999999999,60.08666666666666,145.93001666666666,
2017-01-06,50.86944444444445,40.62083333333333,58.46180555555555,126.62955917874395,51.00486111111112,48.67916666666667,138.26874999999998,60.01249999999999,146.82003472222223,
2017-01-07,50.297023809523814,40.948214285714286,58.25119047619047,124.24349120082813,49.90297619047619,46.72559523809524,136.17559523809524,59.93988095238095,146.0862976190476,
2017-01-08,50.11964285714287,42.396428571428565,56.570238095238096,117.92366977225672,49.794642857142854,47.092261904761905,128.78988095238094,59.84761904761905,145.86513690476187,
2017-01-09,49.991666666666674,44.11607142857143,54.33095238095239,117.35459886128365,51.300595238095234,46.58452380952381,129.2142857142857,58.966071428571425,149.16170238095236,
2017-01-10,50.13333333333334,44.554166666666674,55.53142857142858,123.63870600414079,54.25714285714286,47.42678571428571,133.93571428571425,60.93809523809524,152.9564583333333,
2017-01-11,51.341666666666676,45.190476190476204,57.71056390977445,127.97084886128364,59.78690476190476,49.544642857142854,137.99642857142854,63.32797619047619,149.4458928571428,
2017-01-12,55.36488095238095,47.61130952380954,60.00104010025065,129.5004943064182,61.20357142857143,53.14702380952381,140.39226190476185,66.4779761904762,147.70354096638653,
2017-01-13,58.22202380952381,51.020238095238106,62.273659147869694,128.45315734989646,61.404761904761905,54.95416666666666,145.41785714285712,68.14464285714287,149.02135168067224,
2017-01-14,58.10297619047619,51.3279761904762,62.40877819548874,127.98450569358178,61.512499999999996,56.72678571428571,150.7678571428571,67.36607142857143,147.7490183473389,
2017-01-15,57.83690476190476,50.84642857142858,67.50580200501255,135.7093271221532,65.10535714285713,58.86130952380952,162.51011904761899,69.29107142857143,152.6437683473389,
2017-01-16,56.807142857142864,49.151190476190486,69.01115914786969,137.1933152173913,63.19166666666666,58.33809523809524,163.23630952380947,68.98273809523809,148.99092310924362,
2017-01-17,52.56011904761905,46.70535714285715,65.22973057644113,129.40694616977225,56.74166666666666,55.87380952380953,147.42857142857136,63.725232919254644,134.85493501400555,
2017-01-18,47.5,42.71374223602485,58.02083333333335,109.05545807453416,46.04464285714285,50.16428571428571,129.6785714285714,54.59368530020702,121.5574409663865,
2017-01-19,41.61190476190477,36.96790890269151,53.1202380952381,103.33902691511386,40.30357142857142,45.69345238095239,117.31726190476185,48.19547101449273,110.1537928571428,
2017-01-20,37.134523809523806,31.508385093167703,51.06440476190477,95.89530797101449,36.58630952380952,43.516666666666666,109.05535714285709,44.8791544878821,97.33696428571425,
2017-01-21,36.03095238095238,28.93755175983437,49.55834415584416,90.58971790890268,35.171428571428564,41.87083333333333,98.78095238095231,42.868440202167804,91.32126190476188,
2017-01-22,35.54404761904762,27.54707556935818,45.0059632034632,85.6492417184265,32.36369047619047,39.507738095238096,96.39821428571422,41.45951163073924,87.06308333333332,
2017-01-23,37.57857142857143,30.30302795031056,45.14405844155845,89.27829968944097,37.89702380952381,42.09761904761905,105.46666666666661,45.78808305931067,95.58945833333333,
2017-01-24,42.62857142857143,34.144642857142856,51.60953463203463,88.85865683229812,42.71247412008281,45.1827380952381,114.40773809523805,51.91939775910363,111.43181030020703,
2017-01-25,43.26369047619048,34.20054347826086,53.358939393939394,89.67762939958592,44.50590062111801,46.357789855072475,116.75590062111796,53.495588235294115,114.43922696687369,
2017-01-26,45.49940476190476,36.666614906832294,56.033344155844155,90.32078416149068,47.63209109730848,47.66969461697723,121.79578157349893,57.57058823529412,121.38766149068321,
2017-01-27,47.37321428571429,40.16006728778468,56.56536796536797,96.71176501035197,50.599948240165624,49.35898033126294,128.18030538302273,59.85892857142858,132.55028649068322,
2017-01-28,48.76904761904762,41.18149585921326,58.368452380952384,101.88094720496893,51.94340062111801,50.859575569358185,132.48804347826083,61.46607142857143,137.58314958592132,
2017-01-29,49.4202380952381,42.99459109730849,58.05357142857144,98.3238638716356,49.9041149068323,50.531004140786756,122.57078157349892,60.64642857142858,136.414566252588,
2017-01-30,47.60238095238095,40.63149585921326,57.05178571428572,88.8347463768116,43.19042443064182,48.197075569358184,107.04280538302272,55.261904761904766,128.53819720496895,
2017-01-31,42.98690476190476,36.31250000000001,51.15892857142858,83.91748447204968,38.95235507246377,46.843504140786756,98.42494824016559,49.14404761904762,112.37766666666666,
2018-01-01,44.970238095238095,39.74404761904763,58.52380952380953,94.2690476190476,45.92238095238095,50.102380952380955,104.93214285714282,55.64702380952381,113.63026785714284,51.63333333333336
2018-01-02,45.47083333333334,42.07797619047619,59.231547619047625,90.17190476190476,48.00988095238096,49.91369047619048,103.9910714285714,54.70059523809523,112.4476964285714,52.750000000000014
2018-01-03,45.426785714285714,42.892857142857146,60.39047619047619,90.31970238095236,50.82738095238096,48.00833333333334,104.63452380952377,54.52797619047618,107.68532738095236,52.01250000000001
