FECHA,ACO,AJU,AJM,ATI,CAM,CCA,CHO,CUA,CUT,FAC,HGM,IZT,LPR,LLA,MER,MON,NEZ,PED,SAG,SFE,MGH,TAH,TLA,TLI,UIZ,UAX,VIF,XAL,MPA,BJU,INN,GAM
2017-01-01,33.666666666666664,28.095238095238095,46.666666666666664,26.25,36.166666666666664,32.25,26.416666666666668,36.375,32.208333333333336,28.083333333333332,36.095238095238095,32.416666666666664,28.833333333333332,29.958333333333332,27.541666666666668,37.04761904761905,27.0,37.583333333333336,22.142857142857142,43.416666666666664,30.208333333333332,29.91304347826087,32.916666666666664,29.375,35.041666666666664,33.125,27.291666666666668,31.791666666666668,47.095238095238095,31.583333333333332,37.0,30.75
2017-01-02,29.833333333333332,28.401785714285715,45.854166666666664,26.895833333333336,30.041666666666664,30.5,27.333333333333336,32.208333333333336,27.020833333333336,25.666666666666664,29.25595238095238,28.520833333333332,27.25,24.645833333333332,23.125,30.586309523809526,25.375,36.520833333333336,21.842261904761905,34.33333333333333,28.333333333333332,33.1856884057971,28.104166666666664,25.583333333333336,31.281702898550723,30.145833333333336,23.854166666666668,28.125,52.214285714285715,22.083333333333332,40.45833333333333,27.020833333333336
2017-01-03,30.402777777777775,28.68452380952381,48.888888888888886,28.63888888888889,28.055555555555554,31.208333333333332,28.152777777777782,32.958333333333336,26.13888888888889,26.097222222222218,28.267857142857142,28.027777777777775,27.041666666666668,23.930555555555554,20.7,30.168650793650794,25.125,38.68055555555556,22.58928571428571,34.33333333333333,28.86111111111111,35.221014492753625,27.013888888888886,25.111111111111114,30.201690821256037,30.13888888888889,24.35205314009662,28.069444444444443,54.37896825396825,29.773504273504273,46.625,26.777777777777782
2017-01-04,29.35643115942029,27.773809523809526,46.83333333333333,27.229166666666668,22.354166666666664,29.197916666666668,28.729166666666668,31.09375,24.770833333333336,25.666666666666664,26.22172619047619,22.543560606060606,25.375,22.822916666666664,19.702083333333334,29.126488095238095,23.96875,36.38541666666667,21.598214285714285,32.138888888888886,27.06628787878788,33.51992753623188,25.343749999999996,23.427083333333336,27.98460144927536,27.802083333333336,23.326539855072465,26.697916666666664,52.62118271221532,27.153044871794872,44.77309782608695,25.406250000000004
2017-01-05,27.91371635610766,29.295238095238098,46.12982456140351,26.13571428571429,21.178571428571427,28.282142857142855,29.983333333333338,30.525,24.121428571428574,24.161904761904758,25.444047619047616,23.48246753246753,24.461904761904762,22.563095238095237,19.91404761904762,29.901190476190475,25.441666666666666,35.02261904761905,22.554761904761904,32.80654761904762,25.97683982683983,34.26356107660455,23.652777777777775,22.475,28.76863354037267,29.213095238095242,22.527898550724636,27.882142857142856,53.99218426501035,26.432435897435898,45.13847826086956,25.406250000000004
2017-01-06,27.740596963423048,30.822420634920636,49.031798245614034,25.890873015873016,22.6140873015873,29.360119047619047,30.47916666666667,32.17361111111111,23.74702380952381,24.232142857142858,27.07142857142857,25.547889610389614,25.725198412698415,23.66369047619047,21.483928571428574,30.389880952380953,26.493055555555554,36.33829365079365,23.823412698412696,35.7952380952381,26.6751443001443,35.914078674948236,24.099537037037035,22.6929347826087,30.17525017253278,31.4484126984127,22.69685990338164,28.596230158730155,55.03515355417529,27.74230769230769,45.587620772946856,33.10961538461539
2017-01-07,27.92051168293404,31.234693877551024,48.52130325814536,25.965986394557824,23.228741496598637,29.3265306122449,29.85714285714286,31.535714285714285,23.985544217687075,24.93189884649512,27.239795918367346,25.91604823747681,25.943027210884356,23.90221088435374,21.873129251700682,30.292517006802722,26.66071428571428,36.54591836734694,24.318877551020403,36.419642857142854,26.50726654298083,35.75968648328897,24.16865079365079,22.837991718426505,30.096643005028096,31.43197278911565,22.621118012422357,28.636054421768705,54.6015601892931,27.951739926739926,46.22391304347826,32.30662393162393
2017-01-08,26.551464063886424,29.875850340136058,45.02725563909774,24.614795918367346,20.10969387755102,26.9515306122449,28.35714285714286,28.511904761904763,22.812925170068024,23.723565513161784,24.148809523809522,23.39819109461967,24.091836734693878,22.812925170068024,19.492176870748303,28.136904761904766,25.16071428571428,33.35078379177758,24.23299319727891,32.19742063492064,24.322742733457016,34.355442176870746,21.609126984126984,21.159420289855074,27.40616681455191,28.765306122448983,21.99503576134011,26.558673469387752,51.74866903283053,25.570787545787542,46.97986542443065,29.764957264957264
2017-01-09,25.56336882579119,29.090136054421773,42.72963659147869,23.031462585034014,18.84778911564626,25.362244897959183,26.5952380952381,27.291666666666668,22.878401360544213,22.9378512274475,23.261904761904763,22.457714904143476,23.05612244897959,22.72959183673469,18.819557823129255,27.500000000000004,24.27380952380952,31.40435522034901,23.50085034013605,31.95436507936508,22.941790352504633,31.885204081632654,20.484126984126984,20.55227743271222,26.266156462585034,26.673827425707135,21.602178618482963,25.66711032238982,47.85581188997338,26.380311355311353,46.31915113871636,28.744123931623932
2017-01-10,24.020149364093466,29.02336586808637,39.75939849624059,19.442176870748302,18.07993197278912,23.957482993197278,24.940476190476197,25.904761904761905,22.521258503401356,22.44380360839988,22.422619047619047,21.77319109461967,22.544217687074827,22.782386867790592,19.10289115646259,26.75672877846791,23.64285714285714,28.725783791777584,20.330215419501126,31.70493197278912,21.59655225726654,29.855442176870753,19.90079365079365,19.92727743271222,25.617346938775512,26.364303616183324,20.94859307359307,22.133380163659663,45.388161786453715,23.227898550724632,43.51765010351967,27.994123931623932
