PARAM,FECHA,0
CO,2017-01-01,0.7841634077141323
CO,2017-01-02,0.83809105548236
CO,2017-01-03,0.9868315018315019
CO,2017-01-04,0.9215532655750047
CO,2017-01-05,1.0678709354555218
CO,2017-01-06,1.166517857142857
CO,2017-01-07,0.790527950310559
CO,2017-01-08,0.6914231601731602
CO,2017-01-09,0.7716870300751879
CO,2017-01-10,0.9191208938849098
CO,2017-01-11,1.0000933706816058
CO,2017-01-12,0.8986405055849502
CO,2017-01-13,0.8305599647266315
CO,2017-01-14,0.7107142857142856
CO,2017-01-15,0.7351658305462652
CO,2017-01-16,0.934163843402974
CO,2017-01-17,0.8505746031746031
CO,2017-01-18,0.8698486184597297
CO,2017-01-19,0.754534739669179
CO,2017-01-20,0.5362468147794235
CO,2017-01-21,0.5322115384615386
CO,2017-01-22,0.787607277352701
CO,2017-01-23,0.9763357467743432
CO,2017-01-24,0.8235909822866346
CO,2017-01-25,0.8305555555555556
CO,2017-01-26,1.018168878223226
CO,2017-01-27,0.9128497942386831
CO,2017-01-28,0.7382483277591972
CO,2017-01-29,0.6012820512820514
CO,2017-01-30,0.8328693017127801
CO,2017-01-31,0.9273336761287276
CO,2017-02-01,0.8016827467218772
CO,2017-02-02,0.6852121212121212
CO,2017-02-03,0.6862695652173915
CO,2017-02-04,0.5440761904761906
CO,2017-02-05,0.5851666666666666
CO,2017-02-06,0.628
CO,2017-02-07,0.865061902247257
CO,2017-02-08,0.7796260683760684
CO,2017-02-09,0.5537366437909916
CO,2017-02-10,0.8336823062558357
CO,2017-02-11,0.8173611111111113
CO,2017-02-12,0.7519097222222223
CO,2017-02-13,0.7871527777777779
CO,2017-02-14,0.7306583592481761
CO,2017-02-15,0.6948138388718099
CO,2017-02-16,0.3651460827995916
CO,2017-02-17,0.3967389538661468
CO,2017-02-18,0.615625
CO,2017-02-19,0.5433035714285714
CO,2017-02-20,0.3863283208020051
CO,2017-02-21,0.6383638315522373
CO,2017-02-22,0.6298442263667828
CO,2017-02-23,0.6607142857142858
CO,2017-02-24,0.7421321576054078
CO,2017-02-25,0.7147988505747128
CO,2017-02-26,0.5529214559386975
CO,2017-02-27,0.7654107674397529
CO,2017-02-28,0.7876169475887521
CO,2017-03-01,0.732718701016756
CO,2017-03-02,0.4451853400222966
CO,2017-03-03,0.45787400318979266
CO,2017-03-04,0.5256340579710144
CO,2017-03-05,0.5377256187636117
CO,2017-03-06,0.6558044519582981
CO,2017-03-07,0.6344988344988345
CO,2017-03-08,0.5155866778149387
CO,2017-03-09,0.7077192982456141
CO,2017-03-10,0.7857161084529506
CO,2017-03-11,0.6596230158730158
CO,2017-03-12,0.4876190476190478
CO,2017-03-13,0.6218918128654971
CO,2017-03-14,0.5801644328211831
CO,2017-03-15,0.7315624999999999
CO,2017-03-16,0.723258281573499
CO,2017-03-17,0.6808574879227054
CO,2017-03-18,0.5483730158730161
CO,2017-03-19,0.45954861111111106
CO,2017-03-20,0.5147569444444443
CO,2017-03-21,0.6645585317460319
CO,2017-03-22,0.6923859126984128
CO,2017-03-23,0.8413124451032058
CO,2017-03-24,0.8306845238095238
CO,2017-03-25,0.6567693236714977
CO,2017-03-26,0.624766002415459
CO,2017-03-27,0.7215931245686681
CO,2017-03-28,0.6636731902356903
CO,2017-03-29,0.5885227272727274
CO,2017-03-30,0.6059277044150994
CO,2017-03-31,0.6637022397891964
CO,2017-04-01,0.4961326402016384
CO,2017-04-02,0.3952593992858644
CO,2017-04-03,0.7998172652804033
CO,2017-04-04,0.8528205018044338
CO,2017-04-05,0.870654761904762
CO,2017-04-06,0.711309523809524
CO,2017-04-07,0.7764393939393938
CO,2017-04-08,0.6489670619235837
CO,2017-04-09,0.5874380952380952
CO,2017-04-10,0.6150252190945127
CO,2017-04-11,0.5586681318681319
CO,2017-04-12,0.37657142857142856
CO,2017-04-13,0.4421086956521739
CO,2017-04-14,0.3819202898550725
CO,2017-04-15,0.3914930555555556
CO,2017-04-16,0.40073251417769384
CO,2017-04-17,0.5622670807453417
CO,2017-04-18,0.5373204296974321
CO,2017-04-19,0.6103124999999999
CO,2017-04-20,0.5365666666666667
CO,2017-04-21,0.553576388888889
CO,2017-04-22,0.5505434782608698
CO,2017-04-23,0.4653514739229025
CO,2017-04-24,0.8411293502908409
CO,2017-04-25,0.7052216761844091
CO,2017-04-26,0.599626178974005
CO,2017-04-27,0.8964941338854382
CO,2017-04-28,0.7597677081372735
CO,2017-04-29,0.4707972616964407
CO,2017-04-30,0.6731323658432901
CO,2017-05-01,0.6574690668499743
CO,2017-05-02,0.8479413325373928
CO,2017-05-03,0.84256038647343
CO,2017-05-04,0.8034280303030304
CO,2017-05-05,0.7492139804639805
CO,2017-05-06,0.6492635046113309
CO,2017-05-07,0.5856666666666667
CO,2017-05-08,0.7086718535469106
CO,2017-05-09,0.7663333333333333
CO,2017-05-10,0.7335811594202898
CO,2017-05-11,0.695059523809524
CO,2017-05-12,0.7291093544137022
CO,2017-05-13,0.5882850241545894
CO,2017-05-14,0.5859421868586403
CO,2017-05-15,0.6973796305239383
CO,2017-05-16,0.671845138557095
CO,2017-05-17,0.7425510204081631
CO,2017-05-18,0.6321859903381644
CO,2017-05-19,0.6441644301306139
CO,2017-05-20,0.571880032206119
CO,2017-05-21,0.5011939571150097
CO,2017-05-22,0.6378038976074092
CO,2017-05-23,0.6054671974052779
CO,2017-05-24,0.5948849129512745
CO,2017-05-25,0.6488202898550725
CO,2017-05-26,0.6820504623253983
CO,2017-05-27,0.48933566433566444
CO,2017-05-28,0.43225732600732597
