FECHA,ACO,AJU,AJM,ATI,CAM,CCA,CHO,CUA,CUT,FAC,HGM,IZT,LPR,LLA,MER,MON,NEZ,PED,SAG,SFE,MGH,TAH,TLA,TLI,UIZ,UAX,VIF,XAL,MPA,BJU,INN,GAM
2017-01-01,,16.227272727272727,22.333333333333332,,47.125,33.583333333333336,,,,,,,,,66.79166666666667,,72.08333333333333,,,23.208333333333332,43.875,,49.80952380952381,,,52.25,,90.58333333333333,17.863636363636363,50.458333333333336,14.458333333333334,
2017-01-02,,22.6520979020979,19.041666666666664,,37.27989130434783,24.22644927536232,,,,,,,,,48.708333333333336,,52.1875,,,19.81469298245614,32.708333333333336,,38.404761904761905,,,36.791666666666664,,61.4375,17.577651515151516,35.53472222222222,13.125,
2017-01-03,,25.018065268065268,21.36111111111111,,36.60326086956522,24.692632850241548,,,,,,,,,44.01608187134503,,48.611111111111114,,,21.18080981439105,31.958333333333332,,36.39484126984127,,,36.416666666666664,,56.375,21.829545454545453,36.594576719576715,15.847222222222223,
2017-01-04,,23.16572286409243,19.677083333333332,,33.43928775743707,23.290307971014492,,,,,,,,,41.418311403508774,,44.10416666666667,,,19.416857360793287,30.135416666666668,,33.26488095238095,,,34.85597826086956,,54.305059523809526,20.258522727272727,35.6125992063492,14.531250000000002,
2017-01-05,,21.854317421708725,18.48333333333333,,34.10976353928299,22.740579710144928,,,,,,,,,43.22631578947369,,43.13333333333334,,,18.766819221967964,29.46666666666667,,31.383333333333333,,,34.143115942028984,,57.61904761904761,20.258522727272727,35.00674603174603,13.425,
2017-01-06,,22.059153406979494,19.208333333333332,,35.64008072718027,23.27687198067633,,,,,,,,,44.54276315789474,,42.993055555555564,,,19.50707157386219,30.597222222222225,,32.263888888888886,,,34.47342995169082,,67.62698412698413,20.768722943722942,35.91534391534392,13.638888888888888,
2017-01-07,,22.485226729791947,20.720238095238095,,35.8522120518688,24.028985507246375,,,,,,,,,44.32832080200502,,42.51785714285715,,,20.553680396643784,31.232142857142858,,33.13690476190476,,,34.98317805383022,,65.67431972789116,23.2100468975469,36.73696145124717,14.791666666666666,
2017-01-08,,25.756330625895846,24.672619047619044,,35.7569739566307,24.82065217391304,,,,,,,,,42.048558897243105,,38.04761904761906,,,23.61320420616759,30.714285714285715,,32.20578231292517,,,35.03079710144927,,59.144557823129254,28.927218614718612,36.00481859410431,15.625,
2017-01-09,,24.511575381140602,27.244047619047617,,38.06986215538847,28.315476190476186,,,,,,,,,45.48308270676692,,39.49574829931974,,,26.582815734989648,33.73214285714286,,34.122448979591844,,,37.38919309142421,,60.88265306122448,30.23277417027417,40.34608843537415,15.779761904761903,
2017-01-10,,20.959988079553302,26.726190476190474,,37.83176691729323,27.708333333333332,,,,,,,,,44.714285714285715,,36.442176870748305,,,26.994047619047617,33.833333333333336,,34.43792517006803,,,35.69655239878352,,60.52551020408163,27.59388528138528,39.416666666666664,13.28095238095238,
2017-01-11,,21.1003042850869,27.51190476190476,,39.160714285714285,28.065476190476186,,,,,,,,,45.31547619047619,,36.65646258503403,,,27.994047619047617,34.0952380952381,,34.68559597752145,,,34.957421964000915,,61.50595238095237,27.482142857142858,38.95238095238095,13.730555555555554,
2017-01-12,,21.63239538239539,28.476190476190474,,38.25,28.244047619047617,,,,,,,,,43.06547619047619,,36.96598639455784,,,28.51190476190476,33.65476190476191,,35.063146997929614,,,34.16575529733425,,58.36904761904761,26.127551020408163,38.24404761904761,15.630555555555555,
2017-01-13,,20.376443001443004,27.09523809523809,,35.166666666666664,26.97023809523809,,,,,,,,,40.029761904761905,,34.98979591836736,,,27.2797619047619,31.422619047619055,,32.52070393374741,,,32.50504101161997,,47.666666666666664,24.433982683982688,35.83333333333333,14.679166666666667,
2017-01-14,,19.775252525252533,27.101190476190474,,34.38690476190476,26.51785714285714,,,,,,,,,39.154761904761905,,33.477891156462604,,,27.38690476190476,30.541666666666675,,31.31237060041408,,,31.11813624971521,,46.160714285714285,22.68993506493507,35.13690476190475,12.96388888888889,
2017-01-15,,16.701494761277377,22.833333333333332,,31.666666666666664,23.928571428571423,,,,,,,,,36.63095238095239,,32.40051020408165,,,23.934523809523807,28.386904761904766,,29.109989648033128,,,27.481231487810447,,44.73809523809524,17.225649350649356,33.02380952380951,11.172222222222224,
2017-01-16,,16.688507748290366,20.547619047619044,,29.803571428571427,21.34523809523809,,,,,,,,,33.62500000000001,,31.357142857142872,,,21.45578231292517,25.89880952380953,,27.249223602484477,,,25.92640692640694,,45.35714285714287,15.974025974025981,29.81547619047618,11.834722222222226,
2017-01-17,,18.165419725202344,20.434523809523807,,29.38095238095238,21.28571428571428,,,,,,,,,34.50000000000001,,32.91666666666668,,,20.259353741496597,24.82142857142858,,26.677795031055904,,,25.928571428571445,,46.083333333333336,16.38311688311689,28.928571428571416,13.131944444444448,
2017-01-18,,17.64648033126295,21.458333333333332,,29.51190476190476,21.529761904761898,,,,,,,,,33.66666666666667,,32.08928571428573,,,21.89625850340136,25.083333333333343,,27.977743271221538,,,25.559523809523824,,44.49404761904763,16.579545454545464,29.06547619047618,13.369047619047622,
2017-01-19,,16.646480331262953,20.76785714285714,,28.791666666666664,20.934523809523803,,,,,15.3,,,,33.31944444444445,,29.916666666666682,,,21.31111357586513,25.250000000000007,,27.43012422360249,,,24.666666666666682,,42.48809523809524,16.13056586270873,28.095238095238084,11.883333333333338,
