PARAM,FECHA,0
CO,2017-01-01,0.8166666666666669
CO,2017-01-02,0.8791666666666669
CO,2017-01-03,1.010416666666667
CO,2017-01-04,0.8833333333333333
CO,2017-01-05,1.064166666666667
CO,2017-01-06,1.2395833333333333
CO,2017-01-07,0.7791666666666666
CO,2017-01-08,0.7291666666666666
CO,2017-01-09,0.8208333333333333
CO,2017-01-10,0.9979166666666666
CO,2017-01-11,0.9714285714285715
CO,2017-01-12,0.8875000000000001
CO,2017-01-13,0.8250000000000003
CO,2017-01-14,0.7229166666666667
CO,2017-01-15,0.7717391304347825
CO,2017-01-16,0.9668478260869566
CO,2017-01-17,0.9142857142857144
CO,2017-01-18,0.8583333333333335
CO,2017-01-19,0.7391666666666667
CO,2017-01-20,0.49999999999999994
CO,2017-01-21,0.51875
CO,2017-01-22,0.7999999999999998
CO,2017-01-23,0.9849999999999998
CO,2017-01-24,0.9166666666666664
CO,2017-01-25,0.8583333333333333
CO,2017-01-26,1.0604166666666668
CO,2017-01-27,0.9666666666666668
CO,2017-01-28,0.7386775362318841
CO,2017-01-29,0.6238095238095238
CO,2017-01-30,0.8875000000000001
CO,2017-01-31,0.8562500000000002
CO,2017-02-01,0.7708333333333335
CO,2017-02-02,0.7136363636363636
CO,2017-02-03,0.6874999999999999
CO,2017-02-04,0.5428571428571429
CO,2017-02-05,0.5666666666666668
CO,2017-02-06,0.6249999999999999
CO,2017-02-07,0.8062500000000001
CO,2017-02-08,0.7777777777777777
CO,2017-02-09,0.5079166666666667
CO,2017-02-10,0.8500000000000003
CO,2017-02-11,0.8104166666666668
CO,2017-02-12,0.7145833333333333
CO,2017-02-13,0.7916666666666667
CO,2017-02-14,0.775
CO,2017-02-15,0.7083333333333335
CO,2017-02-16,0.3857142857142858
CO,2017-02-17,0.3875
CO,2017-02-18,0.6500000000000001
CO,2017-02-19,0.525
CO,2017-02-20,0.3583333333333334
CO,2017-02-21,0.6304347826086959
CO,2017-02-22,0.6282828282828283
CO,2017-02-23,0.6645833333333335
CO,2017-02-24,0.7625000000000001
CO,2017-02-25,0.7374999999999999
CO,2017-02-26,0.525
CO,2017-02-27,0.7363636363636363
CO,2017-02-28,0.7802005012531328
CO,2017-03-01,0.8104166666666666
CO,2017-03-02,0.4979166666666667
CO,2017-03-03,0.4916666666666666
CO,2017-03-04,0.5604166666666668
CO,2017-03-05,0.5625
CO,2017-03-06,0.6785714285714287
CO,2017-03-07,0.6479166666666667
CO,2017-03-08,0.5812499999999999
CO,2017-03-09,0.7458333333333335
CO,2017-03-10,0.8166666666666669
CO,2017-03-11,0.6937499999999999
CO,2017-03-12,0.4952380952380952
CO,2017-03-13,0.7083333333333331
CO,2017-03-14,0.6624999999999999
CO,2017-03-15,0.7416666666666667
CO,2017-03-16,0.7725000000000001
CO,2017-03-17,0.7145833333333336
CO,2017-03-18,0.5452380952380953
CO,2017-03-19,0.47291666666666665
CO,2017-03-20,0.5020833333333334
CO,2017-03-21,0.6583333333333334
CO,2017-03-22,0.6937500000000003
CO,2017-03-23,0.8999999999999998
CO,2017-03-24,0.8285714285714285
CO,2017-03-25,0.6312500000000001
CO,2017-03-26,0.6020833333333333
CO,2017-03-27,0.7124999999999999
CO,2017-03-28,0.5958333333333334
CO,2017-03-29,0.5687500000000001
CO,2017-03-30,0.6047619047619048
CO,2017-03-31,0.6375000000000002
CO,2017-04-01,0.4916666666666665
CO,2017-04-02,0.3916666666666666
CO,2017-04-03,0.6958333333333333
CO,2017-04-04,0.7625000000000002
CO,2017-04-05,0.8857142857142856
CO,2017-04-06,0.7416666666666666
CO,2017-04-07,0.7479166666666666
CO,2017-04-08,0.6375000000000001
CO,2017-04-09,0.5541666666666669
CO,2017-04-10,0.5829166666666667
CO,2017-04-11,0.5761904761904763
CO,2017-04-12,0.34583333333333344
CO,2017-04-13,0.425
CO,2017-04-14,0.3521739130434782
CO,2017-04-15,0.3833333333333334
CO,2017-04-16,0.3826086956521741
CO,2017-04-17,0.5857142857142857
CO,2017-04-18,0.5520833333333334
CO,2017-04-19,0.6279166666666667
CO,2017-04-20,0.5375000000000001
CO,2017-04-21,0.5229166666666668
CO,2017-04-22,0.5125
CO,2017-04-23,0.47
CO,2017-04-24,0.8083333333333332
CO,2017-04-25,0.6874999999999997
CO,2017-04-26,0.575
CO,2017-04-27,0.925
CO,2017-04-28,0.7500000000000003
CO,2017-04-29,0.438095238095238
CO,2017-04-30,0.6749999999999999
CO,2017-05-01,0.6291666666666668
CO,2017-05-02,0.7999999999999999
CO,2017-05-03,0.85
CO,2017-05-04,0.7625000000000002
CO,2017-05-05,0.6738095238095239
CO,2017-05-06,0.6250000000000001
CO,2017-05-07,0.5458333333333334
CO,2017-05-08,0.7083333333333334
CO,2017-05-09,0.8083333333333332
CO,2017-05-10,0.7100000000000001
CO,2017-05-11,0.6883333333333335
CO,2017-05-12,0.7333333333333333
CO,2017-05-13,0.5666666666666665
CO,2017-05-14,0.5333333333333333
CO,2017-05-15,0.6645833333333333
CO,2017-05-16,0.6625
CO,2017-05-17,0.7571428571428571
CO,2017-05-18,0.6128623188405797
CO,2017-05-19,0.6299999999999999
CO,2017-05-20,0.5666666666666669
CO,2017-05-21,0.4708333333333334
CO,2017-05-22,0.6
CO,2017-05-23,0.6333333333333334
CO,2017-05-24,0.625
CO,2017-05-25,0.6583333333333333
CO,2017-05-26,0.6770833333333333
CO,2017-05-27,0.5104166666666669
CO,2017-05-28,0.4479166666666668
CO,2017-05-29,0.43571428571428583
CO,2017-05-30,0.4000000000000001
