Date,Aguascalientes,Chihuahua,Cuernavaca,Ecatepec de Morelos,Guadalajara,Mexico City,Monterrey,Morelia,Mérida,Oaxaca,Pachuca de Soto,Puebla,San Luis Potosí,Tepic,Toluca
2017-01-01,971.0,21.6,54.0,,43.2,52.92,,69.14285714285714,,73.18367346938777,10.8,,37.8,43.2,49.68
2017-01-02,560.4795918367347,27.0,45.9,,46.980000000000004,48.06,,72.1734693877551,,58.19183673469389,7.0200000000000005,,34.56,41.58,52.34
2017-01-03,444.1768707482993,37.00680272108844,48.6,,52.34721088435375,53.067210884353734,,83.28571428571428,,58.4748299319728,5.400000000000001,,46.08761904761905,45.35999999999999,58.61442176870748
2017-01-04,359.0051020408163,42.51530612244898,49.14,,58.566530612244904,54.56061224489795,,88.84183673469387,,56.8161224489796,4.32,,51.85142857142857,48.27510204081632,62.256734693877554
2017-01-05,301.43673469387755,43.30024489795919,49.248000000000005,,57.85322448979592,55.860734693877546,,93.79183673469387,,56.25289795918368,4.32,,235.88114285714286,51.64048979591837,64.4421224489796
2017-01-06,261.0374149659864,41.48353741496599,48.78,,57.71442176870749,58.074421768707474,,96.0816326530612,,57.72775510204082,6.12,,235.88114285714286,52.20040816326531,66.90925170068029
2017-01-07,231.60349854227405,41.72874635568513,48.75428571428572,,57.18379008746356,59.366997084548096,,94.83090379008745,,57.91533527696793,6.017142857142857,,235.88114285714286,51.840349854227405,67.8055976676385
2017-01-08,97.20921282798834,46.35731778425656,45.66857142857143,,56.72093294460642,59.95276967930028,,89.42763848396501,,50.70052478134111,4.782857142857144,,285.4014285714286,52.14892128279884,68.5655976676385
2017-01-09,79.79790087463557,50.74040816326531,45.66857142857143,,55.79521865889213,62.793002915451886,154.0,83.92991253644315,,49.157667638483964,4.937142857142858,,520.5714285714286,54.000349854227416,70.29737609329447
2017-01-10,56.82483965014577,51.029037900874634,44.58857142857143,,56.94973760932945,61.495626822157426,162.5816326530612,76.10845481049564,,45.35183673469387,6.017142857142858,,518.5510204081633,54.87475218658893,68.85422740524783
2017-01-11,54.80443148688046,47.223206997084546,46.0601749271137,,58.10425655976677,61.2069970845481,166.11564625850338,75.53119533527698,,43.654693877551004,10.954285714285716,,528.6530612244898,56.02927113702625,68.85422740524784
2017-01-12,60.577026239067045,45.217492711370255,46.67731778425656,,60.413294460641396,60.34110787172011,163.08673469387753,79.28338192419827,,41.93047619047618,11.41714285714286,,514.9030612244898,55.452011661807596,69.72011661807582
2017-01-13,64.040583090379,52.198250728862966,47.75731778425656,,62.4337026239067,58.320699708454804,143.89387755102038,75.24256559766765,,37.296163265306106,10.182857142857145,,447.77142857142854,56.02927113702625,68.85422740524784
2017-01-14,63.12629737609329,53.88396501457726,46.52303206997084,,63.44244897959182,57.16618075801748,125.85156462585032,69.24734693877552,,31.859999999999978,10.02857142857143,,380.52285714285716,58.52104956268223,67.12244897959187
2017-01-15,69.54973760932944,48.638250728862964,47.1401749271137,,65.87965014577259,56.11755102040815,114.04419825072885,71.71591836734696,,34.919999999999966,10.491428571428575,,333.10530612244895,59.13819241982509,66.20816326530614
2017-01-16,74.83860058309037,46.56944606413994,48.99160349854226,,65.8796501457726,54.963032069970836,100.7672303206997,77.50227405247814,,38.87999999999997,10.645714285714291,,201.4995918367347,59.723965014577274,66.7854227405248
2017-01-17,77.17609329446063,42.76361516034985,49.300174927113694,,61.42204081632652,55.39451895043731,84.02962099125364,76.88513119533529,,43.919999999999966,10.337142857142863,,202.3654810495627,56.84384839650147,66.20816326530614
2017-01-18,70.58367346938775,44.923615160349854,55.36139941690961,,53.55545189504373,55.10588921282798,72.91883381924198,71.1125364431487,,48.9333333333333,5.7085714285714335,,191.6524781341108,53.71498542274053,66.20816326530614
2017-01-19,60.35346938775509,44.61504373177843,53.66425655976676,,48.01784256559766,54.03731778425655,65.99172011661808,58.99008746355686,,46.689999999999976,6.634285714285719,,65.1267638483965,51.6262390670554,65.91953352769681
2017-01-20,54.16408163265305,36.4,51.50425655976676,,43.86880466472303,52.043032069970835,74.0733527696793,55.81516034985424,,48.15199999999998,7.097142857142862,,73.78565597667637,49.208979591836744,66.20816326530614
2017-01-21,51.54122448979591,36.10285714285715,50.42425655976676,,41.162915451895046,48.391486880466466,91.99067055393586,58.05819241982508,,48.76666666666665,8.485714285714291,,81.95556851311952,45.17434402332362,66.78542274052481
2017-01-22,45.272069970845465,39.34285714285714,49.498542274052475,,38.72571428571428,46.54005830903789,94.83090379008745,60.9928862973761,,47.81714285714285,9.102857142857149,,87.51482993197277,43.32291545189505,67.98833819241985
2017-01-23,45.849329446064125,38.41714285714285,49.34425655976677,,42.27755102040817,47.11731778425655,95.98542274052477,65.0337026239067,,47.97142857142857,9.411428571428575,,94.86579591836733,43.03428571428572,67.41107871720119
2017-01-24,48.44699708454808,39.34285714285714,50.25854227405248,,47.60104956268223,47.405947521865876,115.03206997084547,66.25655976676386,,48.279999999999994,9.56571428571429,,101.80163265306119,45.914402332361526,70.58600583090382
2017-01-25,49.681282798833806,39.34285714285714,43.33142857142857,,48.98962099125365,47.98320699708454,114.74344023323614,65.24781341107872,,48.857259475218655,10.491428571428575,,336.1616326530612,46.994402332361524,70.58600583090382
2017-01-26,56.73655976676383,42.582857142857144,45.17142857142857,,52.21819241982508,52.80396501457725,106.45912536443147,70.44314868804666,,50.862973760932945,9.874285714285719,,437.7755102040816,47.61154518950438,71.4518950437318
