date, pm25, pm10, o3, no2, so2, co
2020/4/20, 52, 53, , , , 
2020/4/21, 126, 68, , , , 
2020/4/23, 107, 44, , , , 
2020/4/30, 17, 37, , , , 
2020/5/1, 66, 35, , , , 
2020/3/2, 60, 50, 23, , 5, 6
2020/3/3, 62, 63, 18, , 2, 8
2020/3/4, 97, 59, 34, , 3, 5
2020/3/5, 54, 20, 36, , 2, 5
2020/3/6, 30, 47, 26, , 9, 8
2020/3/7, 52, 47, 32, , 13, 8
2020/3/8, 65, 34, 27, , 14, 7
2020/3/9, 58, 42, 23, , 5, 5
2020/3/10, 51, 42, 18, , 6, 5
2020/3/11, 61, 48, 22, , 7, 5
2020/3/12, 64, 49, 25, , 8, 6
2020/3/13, 72, 53, 26, , 9, 6
2020/3/14, 80, 59, 33, , 7, 5
2020/3/15, 116, 38, 13, , 6, 4
2020/3/16, 68, , , , , 
2020/3/21, 47, 19, , , , 2
2020/3/22, 53, 31, , , , 2
2020/3/23, 54, 52, , , , 1
2020/3/24, 70, 60, , , , 
2020/3/25, 69, 65, , , , 1
2020/3/26, 123, 64, , , , 
2020/3/27, 80, 64, , , , 
2020/3/28, 86, 60, , , , 
2020/3/30, 61, 48, , , , 
2020/3/31, 63, 56, , , , 
2020/4/1, 60, 57, , , , 
2020/2/2, 72, 54, , , , 19
2020/2/3, 83, 54, , , , 20
2020/2/4, 85, 63, , , , 23
2020/2/5, 65, 62, , , , 18
2020/2/6, 58, 43, 14, 22, 14, 15
2020/2/7, 49, 70, 36, 28, 12, 15
2020/2/8, 82, 54, 28, 28, 9, 7
2020/2/9, 80, 37, 30, 23, 12, 5
2020/2/10, 74, 56, 37, 31, 10, 6
2020/2/11, 94, 34, 13, 12, 5, 3
2020/2/12, 58, 31, 10, 12, 4, 4
2020/2/13, 59, 37, 30, 18, 6, 6
2020/2/14, 57, 48, 17, 20, 10, 7
2020/2/15, 73, 39, 24, , 11, 6
2020/2/16, 79, 57, 36, , 11, 7
2020/2/17, 83, 53, 29, , 11, 6
2020/2/18, 76, 59, 26, , 5, 4
2020/2/19, 84, 16, 14, , 1, 3
2020/2/20, 38, 15, 14, , 3, 3
2020/2/21, 28, 21, 28, , 2, 5
2020/2/22, 44, 34, 26, , 6, 6
2020/2/23, 56, 38, 36, , 8, 6
2020/2/24, 73, 45, 31, , 4, 5
2020/2/25, 53, 48, 39, , 5, 5
2020/2/26, 50, 38, 33, , 1, 5
2020/2/27, 24, 38, 33, , 12, 8
2020/2/28, 53, 54, 31, , 12, 10
2020/2/29, 65, 46, 29, , 13, 8
2020/3/1, 66, 40, 62, , 11, 7
2020/1/2, 38, 46, , , , 18
2020/1/3, 59, 39, , , , 15
2020/1/4, 34, 46, , , , 18
2020/1/5, 67, 56, , , , 13
2020/1/6, 55, 100, , , , 1
2020/1/7, 32, 45, , , , 1
2020/1/8, 13, 53, , , , 1
2020/1/9, 21, 110, , , , 1
2020/1/10, 35, 85, , , , 1
2020/1/11, 34, 43, , , , 1
2020/1/12, 10, 49, , , , 1
2020/1/13, 21, 109, , , , 2
2020/1/14, 38, 142, , , , 2
2020/1/15, 55, 121, , , , 1
2020/1/16, 50, 79, , , , 1
2020/1/17, 39, 28, , , , 1
2020/1/18, 17, 30, , , , 1
2020/1/19, 21, 16, , , , 1
2020/1/20, 8, 38, , , , 1
2020/1/21, 11, 51, , , , 1
2020/1/22, 21, 49, , , , 1
2020/1/23, 22, 83, , , , 1
2020/1/24, 21, 70, , , , 1
2020/1/25, 21, 41, , , , 1
2020/1/26, 26, 59, , , , 1
2020/1/27, 36, 72, , , , 1
2020/1/28, 21, 52, , , , 1
2020/1/29, 17, 85, , , , 1
2020/1/30, 33, 52, , , , 1
2020/1/31, 14, 50, , , , 1
2020/2/1, 25, 45, , , , 18
2019/10/2, 20, 54, , , , 
2019/10/3, 16, 41, , , , 
2019/10/4, 18, 34, , , , 
2019/10/5, 18, 38, , , , 
2019/10/6, 17, 23, , , , 
2019/10/7, 10, 28, , , , 
2019/10/8, 9, 39, , , , 
2019/10/9, 22, 39, , , , 
2019/10/10, 18, 44, , , , 
2019/10/11, 23, 107, , , , 
2019/10/12, 15, 24, , , , 
2019/10/13, 12, 33, , , , 
2019/10/14, 17, 42, , , , 
2019/10/15, 22, 46, , , , 
2019/10/16, 22, 34, , , , 
2019/10/17, 13, 32, , , , 
2019/10/18, 14, 64, , , , 
2019/10/19, 25, 49, , , , 
2019/10/20, 18, 35, , , , 
2019/10/21, 18, 41, , , , 
2019/10/22, 14, 47, , , , 
2019/10/23, 16, 48, , , , 
2019/10/24, 15, 39, , , , 
2019/10/25, 18, 87, , , , 
2019/10/26, 6, , , , , 
2019/10/27, 27, , , , , 
2019/10/28, 25, 92, , , , 
2019/10/29, 27, 44, , , , 
2019/10/30, 24, 35, , , , 
2019/10/31, 13, 15, , , , 
2019/11/1, 8, 38, , , , 
2019/11/2, 18, 48, , , , 
2019/11/3, 21, 17, , , , 
2019/11/4, 14, 52, , , , 
2019/11/5, 26, 33, , , , 
2019/11/6, 19, 43, , , , 
2019/11/7, 14, 62, , , , 
2019/11/8, 15, 19, , , , 
2019/11/9, 10, 29, , , , 
2019/11/10, 22, 31, , , , 
2019/11/11, 20, 51, , , , 
2019/11/12, 24, 14, , , , 
2019/11/13, 4, 35, , , , 
2019/11/14, 22, 61, , , , 
2019/11/15, 29, 29, , , , 
2019/11/16, 14, 56, , , , 1
2019/11/17, 24, 65, , , , 
2019/11/18, 24, 60, , , , 
2019/11/19, 23, 100, , , , 1
2019/11/20, 41, 68, , , , 
2019/11/21, 33, 74, , , , 
2019/11/22, 36, 56, , , , 
2019/11/23, 23, 41, , , , 
2019/11/24, 20, 68, , , , 1
2019/11/25, 28, 119, , , , 1
2019/11/26, 15, 124, , , , 1
2019/11/27, 36, 216, , , , 1
2019/11/28, 25, 91, , , , 1
2019/11/29, 22, 151, , , , 1
2019/11/30, 52, 153, , , , 2
2019/12/1, 48, 66, , , , 1
2019/12/2, 15, 59, , , , 1
2019/12/3, 20, , , , , 
2019/12/11, 9, 39, , , , 1
2019/12/12, 15, 84, , , , 1
2019/12/13, 28, 139, , , , 2
2019/12/14, 35, 135, , , , 2
2019/12/15, 43, 112, , , , 1
2019/12/16, 35, 117, , , , 1
2019/12/17, 23, 57, , , , 1
2019/12/18, 13, 50, , , , 1
2019/12/19, 13, 121, , , , 1
2019/12/20, 26, 72, , , , 1
2019/12/21, 23, 52, , , , 1
2019/12/22, 24, 68, , , , 1
2019/12/23, 21, 85, , , , 1
2019/12/24, 27, 62, , , , 1
2019/12/25, 24, 45, , , , 1
2019/12/26, 31, 55, , , , 1
2019/12/27, 33, 51, , , , 1
2019/12/28, 30, 29, , , , 13
2019/12/29, 61, , , , , 
2019/7/2, 21, 47, , , , 3
2019/7/3, 19, 55, , , , 3
2019/7/4, 23, 65, , , , 3
2019/7/5, 28, 83, , , , 3
2019/7/6, 34, 61, , , , 3
2019/7/7, 17, 39, , , , 3
2019/7/8, 16, 50, , , , 3
2019/7/9, 18, 64, , , , 3
2019/7/10, 21, 56, , , , 3
2019/7/11, 21, 45, , , , 3
2019/7/12, 20, 37, , , , 3
2019/7/13, 12, 62, , , , 3
2019/7/14, 20, 43, , , , 3
2019/7/15, 22, 73, , , , 3
2019/7/16, 28, 62, , , , 
2019/7/17, 21, 47, , , , 
2019/7/18, 18, 93, , , , 
2019/7/19, 24, 63, , , , 
2019/7/20, 19, 68, , , , 
2019/7/21, 19, 57, , , , 
2019/7/22, 24, 46, , , , 
2019/7/23, 18, 45, , , , 
2019/7/24, 17, 38, , , , 
2019/7/25, 15, 48, , , , 
2019/7/26, 17, 53, , , , 
2019/7/27, 20, 46, , , , 
2019/7/28, 19, 64, , , , 
2019/7/29, 21, 57, , , , 
2019/7/30, 17, 71, , , , 
2019/7/31, 27, 89, , , , 
2019/8/1, 30, 62, , , , 
2019/8/2, 22, 46, , , , 
2019/8/3, 16, 47, , , , 
2019/8/4, 15, 30, , , , 
2019/8/5, 11, 51, , , , 
2019/8/6, 18, 58, , , , 
2019/8/7, 19, 64, , , , 
2019/8/8, 30, 59, , , , 
2019/8/9, 23, 68, , , , 
2019/8/10, 23, 71, , , , 
2019/8/11, 23, 39, , , , 
2019/8/12, 15, 54, , , , 
2019/8/13, 23, 68, , , , 
2019/8/14, 20, 39, , , , 
2019/8/15, 15, 66, , , , 
2019/8/16, 27, 52, , , , 
2019/8/17, 21, 54, , , , 
2019/8/18, 20, 57, , , , 
2019/8/19, 22, 57, , , , 
2019/8/20, 22, 85, , , , 
2019/8/21, 27, 58, , , , 
2019/8/22, 18, 38, , , , 
2019/8/23, 15, 38, , , , 
2019/8/24, 16, 41, , , , 
2019/8/25, 29, 21, , , , 
2019/8/26, 7, 42, , , , 
2019/8/27, 14, 76, , , , 
2019/8/28, 30, 69, , , , 
2019/8/29, 35, 49, , , , 
2019/8/30, 24, 64, , , , 
2019/8/31, 25, 54, , , , 
2019/9/1, 28, 32, , , , 
2019/9/2, 14, 39, , , , 
2019/9/3, 13, 35, , , , 
2019/9/4, 11, 15, , , , 
2019/9/5, 10, 83, , , , 
2019/9/6, 37, 69, , , , 
2019/9/7, 33, 54, , , , 
2019/9/8, 25, 38, , , , 
2019/9/9, 26, 48, , , , 
2019/9/10, 18, 59, , , , 
2019/9/11, 18, 55, , , , 
2019/9/12, 19, 41, , , , 
2019/9/13, 18, 38, , , , 
2019/9/14, 17, 27, , , , 
2019/9/15, 17, 23, , , , 
2019/9/16, 10, 22, , , , 
2019/9/17, 14, 49, , , , 
2019/9/18, 21, 39, , , , 
2019/9/19, 21, 49, , , , 
2019/9/20, 36, 49, , , , 
2019/9/21, 17, 46, , , , 
2019/9/22, 19, 24, , , , 
2019/9/23, 12, 39, , , , 
2019/9/24, 17, 35, , , , 
2019/9/25, 17, 40, , , , 
2019/9/26, 24, 42, , , , 
2019/9/27, 26, 45, , , , 
2019/9/28, 24, 46, , , , 
2019/9/29, 19, 39, , , , 
2019/9/30, 20, 44, , , , 
2019/10/1, 12, 51, , , , 
2019/4/2, , , , , , 
2019/4/3, , , , , , 
2019/4/4, , , , , , 
2019/4/5, , , , , , 
2019/4/6, , , , , , 
2019/4/7, , , , , , 
2019/4/8, , , , , , 
2019/4/9, , , , , , 
2019/4/10, , , , , , 
2019/4/11, , , , , , 
2019/4/12, , , , , , 
2019/4/13, , , , , , 
2019/4/14, , , , , , 
2019/4/15, , , , , , 
2019/4/16, , , , , , 
2019/4/17, , , , , , 
2019/4/18, , , , , , 
2019/4/19, , , , , , 
2019/4/20, , , , , , 
2019/4/21, , , , , , 
2019/4/22, , , , , , 
2019/4/23, , , , , , 
2019/4/24, , , , , , 
2019/4/25, , , , , , 
2019/4/26, , , , , , 
2019/4/27, , , , , , 
2019/4/28, , , , , , 
2019/4/29, , , , , , 
2019/4/30, , , , , , 
2019/5/1, , , , , , 
2019/5/2, , , , , , 
2019/5/3, , , , , , 
2019/5/4, , , , , , 
2019/5/5, , , , , , 
2019/5/6, , , , , , 
2019/5/7, , , , , , 
2019/5/8, , , , , , 
2019/5/9, , , , , , 
2019/5/10, , , , , , 
2019/5/11, , , , , , 
2019/5/12, , , , , , 
2019/5/13, , , , , , 
2019/5/14, , , , , , 
2019/5/15, , , , , , 
2019/5/16, , , , , , 
2019/5/17, , , , , , 
2019/5/18, , , , , , 
2019/5/19, , , , , , 
2019/5/20, , , , , , 
2019/5/21, , , , , , 
2019/5/22, , , , , , 
2019/5/23, , , , , , 
2019/5/24, , , , , , 
2019/5/25, , , , , , 
2019/5/26, , , , , , 
2019/5/27, , , , , , 
2019/5/28, , , , , , 
2019/5/29, , , , , , 
2019/5/30, , , , , , 
2019/5/31, , , , , , 
2019/6/1, , , , , , 
2019/6/2, , , , , , 
2019/6/3, , , , , , 
2019/6/4, , , , , , 
2019/6/5, , , , , , 
2019/6/6, , , , , , 
2019/6/7, , , , , , 
2019/6/8, , , , , , 
2019/6/9, , , , , , 
2019/6/10, , , , , , 
2019/6/11, , , , , , 
2019/6/12, , , , , , 
2019/6/13, , , , , , 
2019/6/14, , , , , , 
2019/6/15, , , , , , 
2019/6/17, , , , , , 
2019/6/18, , , , , , 
2019/6/19, , , , , , 
2019/6/20, , , , , , 
2019/6/21, , , , , , 
2019/6/22, , , , , , 
2019/6/23, , , , , , 
2019/6/24, , , , , , 
2019/6/26, , , , , , 
2019/6/27, , , , , , 
2019/6/28, , 65, , , , 3
2019/6/29, 20, 63, , , , 3
2019/6/30, 25, 54, , , , 3
2019/7/1, 24, 54, , , , 3
2019/1/2, , , , , , 
2019/1/3, , , , , , 
2019/1/4, , , , , , 
2019/1/5, , , , , , 
2019/1/6, , , , , , 
2019/1/7, , , , , , 
2019/1/8, , , , , , 
2019/1/9, , , , , , 
2019/1/10, , , , , , 
2019/1/11, , , , , , 
2019/1/12, , , , , , 
2019/1/13, , , , , , 
2019/1/14, , , , , , 
2019/1/15, , , , , , 
2019/1/16, , , , , , 
2019/1/17, , , , , , 
2019/1/18, , , , , , 
2019/1/19, , , , , , 
2019/1/20, , , , , , 
2019/1/21, , , , , , 
2019/1/22, , , , , , 
2019/1/23, , , , , , 
2019/1/24, , , , , , 
2019/1/25, , , , , , 
2019/1/26, , , , , , 
2019/1/27, , , , , , 
2019/1/28, , , , , , 
2019/1/29, , , , , , 
2019/1/30, , , , , , 
2019/1/31, , , , , , 
2019/2/1, , , , , , 
2019/2/2, , , , , , 
2019/2/3, , , , , , 
2019/2/4, , , , , , 
2019/2/5, , , , , , 
2019/2/6, , , , , , 
2019/2/7, , , , , , 
2019/2/8, , , , , , 
2019/2/9, , , , , , 
2019/2/10, , , , , , 
2019/2/11, , , , , , 
2019/2/12, , , , , , 
2019/2/13, , , , , , 
2019/2/14, , , , , , 
2019/2/15, , , , , , 
2019/2/16, , , , , , 
2019/2/17, , , , , , 
2019/2/18, , , , , , 
2019/2/19, , , , , , 
2019/2/20, , , , , , 
2019/2/21, , , , , , 
2019/2/22, , , , , , 
2019/2/23, , , , , , 
2019/2/24, , , , , , 
2019/2/25, , , , , , 
2019/2/26, , , , , , 
2019/2/27, , , , , , 
2019/2/28, , , , , , 
2019/3/1, , , , , , 
2019/3/2, , , , , , 
2019/3/3, , , , , , 
2019/3/4, , , , , , 
2019/3/5, , , , , , 
2019/3/6, , , , , , 
2019/3/7, , , , , , 
2019/3/8, , , , , , 
2019/3/9, , , , , , 
2019/3/10, , , , , , 
2019/3/11, , , , , , 
2019/3/12, , , , , , 
2019/3/13, , , , , , 
2019/3/14, , , , , , 
2019/3/15, , , , , , 
