date, pm25, pm10, o3, no2, so2, co
2020/2/28, 47, 44, 39, , 9, 30
2020/2/29, 63, 41, 40, , 8, 31
2020/3/1, 64, 45, 57, , 10, 32
2020/1/2, 109, 17, 25, 2, 4, 25
2020/1/3, 33, 31, 31, , 4, 23
2020/1/4, 33, 28, 27, 2, 4, 24
2020/1/5, 47, 44, 28, , 4, 18
2020/1/6, 37, 70, , , , 2
2020/1/7, 18, 39, , , , 2
2020/1/8, 8, 44, , , , 2
2020/1/9, 12, 87, , , , 2
2020/1/10, 27, 147, , , , 3
2020/1/11, 39, 61, , , , 2
2020/1/12, 10, 39, , , , 2
2020/1/13, 14, 98, , , , 2
2020/1/14, 30, 89, , , , 2
2020/1/15, 31, 113, , , , 3
2020/1/16, 47, 69, , , , 2
2020/1/17, 43, 31, , , , 2
2020/1/18, 15, 43, , , , 2
2020/1/19, 20, 27, , , , 2
2020/1/20, 10, 18, , , , 2
2020/1/21, 6, 19, , , , 2
2020/1/22, 10, 64, , , , 2
2020/1/23, 32, 63, , , , 2
2020/1/24, 21, 30, , , , 2
2020/1/25, 11, 70, , , , 2
2020/1/26, 32, 37, , , , 2
2020/1/27, 15, 43, , , , 2
2020/1/28, 14, 55, , , , 2
2020/1/29, 13, 66, , , , 2
2020/1/30, 15, 49, , , , 2
2020/1/31, 19, 65, , , , 2
2020/2/1, 28, 52, 26, 16, 6, 29
2019/10/2, 15, 32, , , , 
2019/10/3, 10, 33, , , , 
2019/10/4, 20, 39, , , , 
2019/10/5, 11, 38, , , , 
2019/10/6, 18, 38, , , , 
2019/10/7, 13, 39, , , , 
2019/10/8, 13, 38, , , , 
2019/10/9, 10, 41, , , , 
2019/10/10, 18, 49, , , , 
2019/10/11, 24, 67, , , , 
2019/10/12, 17, 51, , , , 
2019/10/13, 12, 50, , , , 
2019/10/14, 13, 49, , , , 
2019/10/15, 16, 58, , , , 
2019/10/16, 23, 42, , , , 
2019/10/17, 18, 42, , , , 
2019/10/18, 17, 44, , , , 
2019/10/19, 14, 38, , , , 
2019/10/20, 12, 46, , , , 
2019/10/21, 25, 39, , , , 
2019/10/22, 9, 34, , , , 
2019/10/23, 9, 40, , , , 
2019/10/24, 11, 49, , , , 
2019/10/25, 14, 67, , , , 
2019/10/26, 6, 51, , , , 
2019/10/27, 12, 74, , , , 1
2019/10/28, 19, 79, , , , 1
2019/10/29, 22, 68, , , , 1
2019/10/30, 25, 68, , , , 1
2019/10/31, 32, 46, , , , 
2019/11/1, 9, 46, , , , 
2019/11/2, 8, 63, , , , 1
2019/11/3, 13, 40, , , , 
2019/11/4, 9, 69, , , , 1
2019/11/5, 15, 74, , , , 1
2019/11/6, 17, 45, , , , 1
2019/11/7, 8, 58, , , , 1
2019/11/8, 18, 62, , , , 1
2019/11/9, 17, 70, , , , 1
2019/11/10, 18, 52, , , , 1
2019/11/11, 13, 92, , , , 1
2019/11/12, 31, 52, , , , 1
2019/11/13, 10, 81, , , , 1
2019/11/14, 23, 114, , , , 2
2019/11/15, 33, 63, , , , 1
2019/11/16, 12, 68, , , , 1
2019/11/17, 13, 80, , , , 1
2019/11/18, 16, 67, , , , 1
2019/11/19, 18, 91, , , , 1
2019/11/20, 21, 129, , , , 1
2019/11/21, 39, 94, , , , 2
2019/11/22, 37, 84, , , , 1
2019/11/23, 21, 62, , , , 1
2019/11/24, 16, 61, , , , 1
2019/11/25, 15, 158, , , , 1
2019/11/26, 12, 74, , , , 1
2019/11/27, 12, 102, , , , 1
2019/11/28, 14, 75, , , , 1
2019/11/29, 16, 129, , , , 2
2019/11/30, 38, 61, , , , 1
2019/12/1, 16, 27, , , , 1
2019/12/2, 7, 24, , , , 1
2019/12/3, 5, , , , , 
2019/12/11, 17, 30, , , , 1
2019/12/12, 8, 82, , , , 2
2019/12/13, 22, 83, , , , 2
2019/12/14, 18, 80, , , , 2
2019/12/15, 13, 41, , , , 2
2019/12/16, 7, 97, , , , 1
2019/12/17, 18, 32, , , , 1
2019/12/18, 6, 19, , , , 1
2019/12/19, 4, 36, , , , 2
2019/12/20, 15, 62, , , , 2
2019/12/21, 23, 58, , , , 2
2019/12/22, 21, 27, , , , 2
2019/12/23, 11, 58, , , , 2
2019/12/24, 11, 51, , , , 2
2019/12/25, 21, 56, , , , 2
2019/12/26, 28, 60, , , , 2
2019/12/27, 27, 55, , , , 2
2019/12/28, 26, 41, 3, , 3, 26
2019/12/29, 78, , , , , 
2019/7/2, 19, 58, , , , 
2019/7/3, 20, 61, , , , 
2019/7/4, 21, 66, , , , 
2019/7/5, 22, 80, , , , 
2019/7/6, 25, 61, , , , 
2019/7/7, 17, 44, , , , 
2019/7/8, 12, 70, , , , 
2019/7/9, 21, 72, , , , 
2019/7/10, 19, 78, , , , 
2019/7/11, 24, 63, , , , 
2019/7/12, 22, 41, , , , 
2019/7/13, 14, 44, , , , 
2019/7/14, 15, 49, , , , 
2019/7/15, 14, 55, , , , 
2019/7/16, 18, 62, , , , 
2019/7/17, 17, 51, , , , 
2019/7/18, 19, 62, , , , 
2019/7/19, 17, 66, , , , 
2019/7/20, 19, 62, , , , 
2019/7/21, 17, 62, , , , 
2019/7/22, 18, 56, , , , 
2019/7/23, 13, 54, , , , 
2019/7/24, 16, 40, , , , 
2019/7/25, 13, 49, , , , 
2019/7/26, 14, 46, , , , 
2019/7/27, 13, 44, , , , 
2019/7/28, 18, 52, , , , 
2019/7/29, 19, 54, , , , 
2019/7/30, 17, 64, , , , 
2019/7/31, 18, 78, , , , 
2019/8/1, 25, 63, , , , 
2019/8/2, 19, 50, , , , 
2019/8/3, 14, 47, , , , 
2019/8/4, 15, 43, , , , 
2019/8/5, 12, 51, , , , 
2019/8/6, 15, 57, , , , 
2019/8/7, 21, 63, , , , 
2019/8/8, 21, 62, , , , 1
2019/8/9, 17, 63, , , , 1
2019/8/10, 17, 57, , , , 
2019/8/11, 19, 43, , , , 
2019/8/12, 14, 63, , , , 1
2019/8/13, 26, 74, , , , 1
2019/8/14, 26, 57, , , , 1
2019/8/15, 15, 75, , , , 1
2019/8/16, 22, 55, , , , 1
2019/8/17, 16, 70, , , , 1
2019/8/18, 23, 66, , , , 1
2019/8/19, 22, 66, , , , 
2019/8/20, 21, 76, , , , 
2019/8/21, 18, 57, , , , 
2019/8/22, 17, 51, , , , 
2019/8/23, 11, 66, , , , 
2019/8/24, 17, 62, , , , 
2019/8/25, 30, 48, , , , 
2019/8/26, 17, 56, , , , 
2019/8/27, 19, 72, , , , 
2019/8/28, 27, 78, , , , 
2019/8/29, 30, 61, , , , 
2019/8/30, 16, 63, , , , 
2019/8/31, 19, 74, , , , 
2019/9/1, 26, 47, , , , 
2019/9/2, 18, 47, , , , 
2019/9/3, 11, 47, , , , 
2019/9/4, 10, 30, , , , 
2019/9/5, 11, 41, , , , 
2019/9/6, 19, 52, , , , 
2019/9/7, 26, 44, , , , 
2019/9/8, 16, 49, , , , 
2019/9/9, 20, 51, , , , 
2019/9/10, 16, 47, , , , 
2019/9/11, 17, 44, , , , 
2019/9/12, 17, 42, , , , 
2019/9/13, 19, , , , , 
2019/9/17, 13, 46, , , , 
2019/9/18, 16, 53, , , , 
2019/9/19, 22, 70, , , , 
2019/9/20, 35, 55, , , , 
2019/9/21, 22, 40, , , , 
2019/9/22, 17, 40, , , , 
2019/9/23, 19, 46, , , , 
2019/9/24, 18, 49, , , , 
2019/9/25, 20, 51, , , , 
2019/9/26, 18, 53, , , , 
2019/9/27, 23, 49, , , , 
2019/9/28, 25, 42, , , , 
2019/9/29, 24, 30, , , , 
2019/9/30, 8, 28, , , , 
2019/10/1, 10, 30, , , , 
2019/4/2, , , , , , 
2019/4/3, , , , , , 
2019/4/4, , , , , , 
2019/4/5, , , , , , 
2019/4/6, , , , , , 
2019/4/7, , , , , , 
2019/4/8, , , , , , 
2019/4/9, , , , , , 
2019/4/10, , , , , , 
2019/4/11, , , , , , 
2019/4/12, , , , , , 
2019/4/13, , , , , , 
2019/4/14, , , , , , 
2019/4/15, , , , , , 
2019/4/16, , , , , , 
2019/4/17, , , , , , 
2019/4/18, , , , , , 
2019/4/19, , , , , , 
2019/4/20, , , , , , 
2019/4/21, , , , , , 
2019/4/22, , , , , , 
2019/4/23, , , , , , 
2019/4/24, , , , , , 
2019/4/25, , , , , , 
2019/4/26, , , , , , 
