FECHA,PARAM,NE,CE,NO2,SE3,SO2,N2,N,SE2,SUR,NE2,NO,SE,SO
2017-01-01,O3,,,,,,,,,,,,,
2017-01-01,CO,,,,,,,,,,,,,
2017-01-01,PM10,,,,,,,,,,,,,
2017-01-01,PM25,,,,,,,,,,,,,
2017-01-01,SO2,,,,,,,,,,,,,
2017-01-01,NO2,,,,,,,,,,,,,
2017-01-02,O3,,,,,,,,,,,,,
2017-01-02,CO,,,,,,,,,,,,,
2017-01-02,PM10,,,,,,,,,,,,,
2017-01-02,PM25,,,,,,,,,,,,,
2017-01-02,SO2,,,,,,,,,,,,,
2017-01-02,NO2,,,,,,,,,,,,,
2017-01-03,O3,,,,,,,,,,,,,
2017-01-03,CO,,,,,,,,,,,,,
2017-01-03,PM10,,,,,,,,,,,,,
2017-01-03,PM25,,,,,,,,,,,,,
2017-01-03,SO2,,,,,,,,,,,,,
2017-01-03,NO2,,,,,,,,,,,,,
2017-01-04,O3,,,,,,,,,,,,,
2017-01-04,CO,,,,,,,,,,,,,
2017-01-04,PM10,,,,,,,,,,,,,
2017-01-04,PM25,,,,,,,,,,,,,
2017-01-04,SO2,,,,,,,,,,,,,
2017-01-04,NO2,,,,,,,,,,,,,
2017-01-05,O3,,,,,,,,,,,,,
2017-01-05,CO,,,,,,,,,,,,,
2017-01-05,PM10,,,,,,,,,,,,,
2017-01-05,PM25,,,,,,,,,,,,,
2017-01-05,SO2,,,,,,,,,,,,,
2017-01-05,NO2,,,,,,,,,,,,,
2017-01-06,O3,,,,,,,,,,,,,
2017-01-06,CO,,,,,,,,,,,,,
2017-01-06,PM10,,,,,,,,,,,,,
2017-01-06,PM25,,,,,,,,,,,,,
2017-01-06,SO2,,,,,,,,,,,,,
2017-01-06,NO2,,,,,,,,,,,,,
2017-01-07,O3,,,,,,,,,,,,,
2017-01-07,CO,,,,,,,,,,,,,
2017-01-07,PM10,,,,,,,,,,,,,
2017-01-07,PM25,,,,,,,,,,,,,
2017-01-07,SO2,,,,,,,,,,,,,
2017-01-07,NO2,,,,,,,,,,,,,
2017-01-08,O3,,,,,,,,,,,,,
2017-01-08,CO,,,,,,,,,,,,,
2017-01-08,PM10,,,,,,,,,,,,,
2017-01-08,PM25,,,,,,,,,,,,,
2017-01-08,SO2,,,,,,,,,,,,,
2017-01-08,NO2,,,,,,,,,,,,,
2017-01-09,O3,,,,,,,,,,,,,
2017-01-09,CO,, 2,,, 1,, 2,,,,, 1,
2017-01-09,PM10,, 92,,,,,,,,,, 64,
2017-01-09,PM25,,,,,,,,,,,,,
2017-01-09,SO2,,,,,,,,,,,,,
2017-01-09,NO2,,,,,,,,,,,,,
2017-01-10,O3,,,,,,,,,,,,,
2017-01-10,CO, 3, 2,,, 1,, 2,,, 1, 1, 1,
2017-01-10,PM10, 113, 114, 192,, 118,, 109, 117,, 86, 176, 72, 175
2017-01-10,PM25,, 62,,,,,,,,,, 31,
2017-01-10,SO2,,,,,,,,,,,,,
2017-01-10,NO2,,,,,,,,,,,,,
2017-01-11,O3,,,,,,,,,,,,,
2017-01-11,CO, 3, 2,,, 1,, 2,,, 2,, 2, 1
2017-01-11,PM10, 133, 143, 202,, 95,, 88, 173,, 161, 134, 80, 153
2017-01-11,PM25,, 40,,,,,,,,,, 31, 19
2017-01-11,SO2,,,,,,,,,,,,,
2017-01-11,NO2,,,,,,,,,,,,,
2017-01-12,O3,,,,,,,,,,,,,
2017-01-12,CO, 2, 2,,, 1,, 2,,, 2,, 1, 1
2017-01-12,PM10, 122, 146, 286,, 102,, 96, 121,, 116, 183, 97, 154
2017-01-12,PM25,, 46,,,,,,,,,, 39, 25
2017-01-12,SO2,,,,,,,,,,,,,
2017-01-12,NO2,,,,,,,,,,,,,
2017-01-13,O3,,,,,,,,,,,,,
2017-01-13,CO, 2, 1,,,,, 1,,, 2,, 1, 1
2017-01-13,PM10, 111, 77, 173,, 98,, 86, 157,, 98, 119, 52, 191
2017-01-13,PM25,, 36,,,,,,,,,, 39,
2017-01-13,SO2,,,,,,,,,,,,,
2017-01-13,NO2,,,,,,,,,,,,,
2017-01-14,O3,,,,,,,,,,,,,
2017-01-14,CO, 2, 1,,,,, 1,,, 2,, 1,
2017-01-14,PM10, 66, 33, 124,, 70,, 49, 58,, 90, 67, 27, 88
2017-01-14,PM25,, 27,,,,,,,,,, 23,
2017-01-14,SO2,,,,,,,,,,,,,
2017-01-14,NO2,,,,,,,,,,,,,
2017-01-15,O3,,,,,,,,,,,,,
2017-01-15,CO, 2, 1,,,,, 1,,, 2,, 1,
2017-01-15,PM10, 41, 42, 49,, 27,, 32, 39,, 73, 40, 31, 34
2017-01-15,PM25,, 11,,,,,,,,,, 11,
2017-01-15,SO2,,,,,,,,,,,,,
2017-01-15,NO2,,,,,,,,,,,,,
2017-01-16,O3,,,,,,,,,,,,,
2017-01-16,CO, 2, 1,,,,, 2,,, 1,, 1,
2017-01-16,PM10, 45, 61, 102,, 48,, 38, 37,, 42, 54, 46, 43
2017-01-16,PM25,, 18,,,,,,,,,, 15,
2017-01-16,SO2,,,,,,,,,,,,,
2017-01-16,NO2,,,,,,,,,,,,,
2017-01-17,O3,,,,,,,,,,,,,
2017-01-17,CO, 2, 1,,,,, 1,,, 1,, 1,
2017-01-17,PM10, 55, 60, 118,, 55,, 48, 66,, 33, 65, 44, 74
2017-01-17,PM25,, 26,,,,,,,,,, 18,
2017-01-17,SO2,,,,,,,,,,,,,
2017-01-17,NO2,,,,,,,,,,,,,
2017-01-18,O3,,,,,,,,,,,,,
2017-01-18,CO, 2, 2,,, 1,, 2,,, 2,, 1,
2017-01-18,PM10, 52, 85, 52,, 53,, 41, 53,, 48, 72, 51, 55
2017-01-18,PM25,, 23,,,,,,,,,, 19,
2017-01-18,SO2,,,,,,,,,,,,,
2017-01-18,NO2,,,,,,,,,,,,,
2017-01-19,O3,,,,,,,,,,,,,
2017-01-19,CO, 2, 2,,,,, 2,,, 2,, 1,
2017-01-19,PM10, 69, 72, 88,, 86,, 59, 54,, 55, 77, 61, 92
2017-01-19,PM25,, 29,,,,,,,,,, 14,
2017-01-19,SO2,,,,,,,,,,,,,
2017-01-19,NO2,,,,,,,,,,,,,
2017-01-20,O3,,,,,,,,,,,,,
2017-01-20,CO, 2, 2,,,,, 1,,, 2,, 1,
2017-01-20,PM10, 99, 74, 137,, 60,, 71, 105,, 76, 95, 79, 127
2017-01-20,PM25,, 25,,,,,,,,,, 22,
2017-01-20,SO2,,,,,,,,,,,,,
2017-01-20,NO2,,,,,,,,,,,,,
2017-01-21,O3,,,,,,,,,,,,,
2017-01-21,CO, 2, 1,,,,, 1,,, 2,, 1,
2017-01-21,PM10, 111, 158, 169,, 76,, 85, 125,, 87, 103, 121, 118
2017-01-21,PM25,, 36,,,,,,,,,, 30,
2017-01-21,SO2,,,,,,,,,,,,,
2017-01-21,NO2,,,,,,,,,,,,,
2017-01-22,O3,,,,,,,,,,,,,
2017-01-22,CO, 2, 1,,,,, 1,,, 2,,,
2017-01-22,PM10, 157, 62, 276,, 198,, 164, 183,, 81, 260,, 194
2017-01-22,PM25,, 23,,,,,,,,,, 36,
2017-01-22,SO2,,,,,,,,,,,,,
2017-01-22,NO2,,,,,,,,,,,,,
2017-01-23,O3,,,,,,,,,,,,,
2017-01-23,CO, 2, 1,,,,, 1,,, 1,, 1,
2017-01-23,PM10, 37, 60, 67,, 82,, 38, 91,, 53, 78, 46, 77
2017-01-23,PM25,, 6,,,,,,,,,,,
2017-01-23,SO2,,,,,,,,,,,,,
2017-01-23,NO2,,,,,,,,,,,,,
2017-01-24,O3,,,,,,,,,,,,,
2017-01-24,CO, 2, 2,,, 1,, 2,,, 2,, 2,
2017-01-24,PM10, 80, 172, 97,, 58,, 48, 107,, 73, 98, 70, 96
2017-01-24,PM25,, 31,,,,,,,,,, 21,
2017-01-24,SO2,,,,,,,,,,,,,
2017-01-24,NO2,,,,,,,,,,,,,
2017-01-25,O3,,,,,,,,,,,,,
2017-01-25,CO, 3, 1,,,,, 1,,, 2, 1, 1,
2017-01-25,PM10, 179, 87, 160,, 130,, 108, 229,, 136, 160, 65, 131
2017-01-25,PM25,, 21,,,,,,,,,, 25,
2017-01-25,SO2,,,,,,,,,,,,,
2017-01-25,NO2,,,,,,,,,,,,,
2017-01-26,O3,,,,,,,,,,,,,
2017-01-26,CO, 2, 1,,,,, 1,,, 1,, 1,
2017-01-26,PM10, 63, 35, 96,, 104,, 55, 125,, 70, 84, 45, 107
2017-01-26,PM25,, 18,,,,,,,,,, 18,
2017-01-26,SO2,,,,,,,,,,,,,
2017-01-26,NO2,,,,,,,,,,,,,
2017-01-27,O3,,,,,,,,,,,,,
2017-01-27,CO, 2, 1,,,,, 2,,, 1,, 1,
2017-01-27,PM10, 61, 35, 60,, 25,, 38, 65,, 46, 50, 28, 44
2017-01-27,PM25,, 9,,,,,,,,,, 13,
2017-01-27,SO2,,,,,,,,,,,,,
2017-01-27,NO2,,,,,,,,,,,,,
2017-01-28,O3,,,,,,,,,,,,,
2017-01-28,CO, 2, 2,,,,, 2,,, 2,, 1,
2017-01-28,PM10, 42, 8, 35,, 50,, 30, 30,, 54, 26, 7, 42
2017-01-28,PM25,, 12,,,,,,,,,, 12,
2017-01-28,SO2,,,,,,,,,,,,,
2017-01-28,NO2,,,,,,,,,,,,,
2017-01-29,O3,,,,,,,,,,,,,
2017-01-29,CO, 2,,,,,,,,,,,,
2017-01-29,PM10, 9,,,, 9,, 5, 17,,,,, 5
2017-01-29,PM25,,,,,,,,,,,,,
2017-01-29,SO2,,,,,,,,,,,,,
2017-01-29,NO2,,,,,,,,,,,,,
2017-01-30,O3,,,,,,,,,,,,,
2017-01-30,CO,, 1,,,,, 2,,,,, 1,
2017-01-30,PM10,, 41,,,,,,,,,, 35,
2017-01-30,PM25,,,,,,,,,,,,,
2017-01-30,SO2,,,,,,,,,,,,,
2017-01-30,NO2,,,,,,,,,,,,,
2017-01-31,O3,,,,,,,,,,,,,
2017-01-31,CO, 2, 2,,, 1,, 2,,, 2,, 2,
2017-01-31,PM10, 124, 111, 114,, 50,, 53, 184,, 88, 79, 93, 82
2017-01-31,PM25,, 12,,,,,,,,,, 12,
2017-01-31,SO2,,,,,,,,,,,,,
2017-01-31,NO2,,,,,,,,,,,,,
2017-02-01,O3,,,,,,,,,,,,,
2017-02-01,CO, 2, 2,,, 1,, 1,,, 2,, 1,
2017-02-01,PM10, 138, 110, 137,, 82,, 107, 211,, 111, 152, 87, 169
2017-02-01,PM25,, 32,,,,,,,,,, 36,
2017-02-01,SO2,,,,,,,,,,,,,
2017-02-01,NO2,,,,,,,,,,,,,
2017-02-02,O3,,,,,,,,,,,,,
2017-02-02,CO, 3, 2,,, 1,, 1,,, 2,, 1,
2017-02-02,PM10, 151, 84, 126,, 89,, 105, 216,, 107, 108, 67, 135
2017-02-02,PM25,, 33,,,,,,,,,, 30,
2017-02-02,SO2,,,,,,,,,,,,,
2017-02-02,NO2,,,,,,,,,,,,,
2017-02-03,O3,,,,,,,,,,,,,
2017-02-03,CO, 3, 2,,, 1,, 1,,, 2,, 1,
2017-02-03,PM10, 149, 77, 129,, 69,, 80, 225,, 104, 93, 68, 135
2017-02-03,PM25,, 25,,,,,,,,,, 28,
2017-02-03,SO2,,,,,,,,,,,,,
2017-02-03,NO2,,,,,,,,,,,,,
2017-02-04,O3,,,,,,,,,,,,,
2017-02-04,CO, 2,,,, 1,, 2,,, 1,, 1,
2017-02-04,PM10, 76,, 67,, 84,, 62, 67,, 73, 63, 36, 81
2017-02-04,PM25,, 27,,,,,,,,,, 25,
2017-02-04,SO2,,,,,,,,,,,,,
2017-02-04,NO2,,,,,,,,,,,,,
2017-02-05,O3,,,,,,,,,,,,,
2017-02-05,CO, 2, 2,,, 1,, 1,,, 2, 1, 2,
2017-02-05,PM10, 48, 52, 40,, 140,, 39, 43,, 44, 86, 74, 62
2017-02-05,PM25,,,,,,,,,,,, 16,
2017-02-05,SO2,,,,,,,,,,,,,
2017-02-05,NO2,,,,,,,,,,,,,
2017-02-06,O3,,,,,,,,,,,,,
2017-02-06,CO, 2, 2,,, 1,, 2,,, 2,, 2,
2017-02-06,PM10, 75, 81, 202,, 110,, 35, 65,, 40, 61, 68, 114
2017-02-06,PM25,, 37,,,,,,,,,, 34,
2017-02-06,SO2,,,,,,,,,,,,,
2017-02-06,NO2,,,,,,,,,,,,,
2017-02-07,O3,,,,,,,,,,,,,
2017-02-07,CO, 4, 2,,, 1,, 2,,, 2, 1, 1, 1
2017-02-07,PM10, 194, 71, 218,, 98,, 61, 350,, 89, 108, 55, 155
2017-02-07,PM25,, 25,,,,,,,,,, 19,
2017-02-07,SO2,,,,,,,,,,,,,
2017-02-07,NO2,,,,,,,,,,,,,
2017-02-08,O3,,,,,,,,,,,,,
2017-02-08,CO, 4, 2,,,,, 2,,, 2,, 1,
2017-02-08,PM10, 172, 70, 99,, 62,, 64, 181,, 71, 90, 53, 99
2017-02-08,PM25,, 22,,,,,,,,,, 15,
2017-02-08,SO2,,,,,,,,,,,,,
2017-02-08,NO2,,,,,,,,,,,,,
2017-02-09,O3,,,,,,,,,,,,,
2017-02-09,CO, 2, 2,,,,, 1,,, 2,, 1,
2017-02-09,PM10, 99, 47, 108,, 51,, 69, 159,, 77, 75, 43, 98
2017-02-09,PM25,, 18,,,,,,,,,, 12, 25
2017-02-09,SO2,,,,,,,,,,,,,
2017-02-09,NO2,,,,,,,,,,,,,
2017-02-10,O3,,,,,,,,,,,,,
2017-02-10,CO, 2, 2,,, 1,, 2,,, 2,, 1,
2017-02-10,PM10, 66, 85, 80,, 40,, 39, 101,, 59, 69, 62, 37
2017-02-10,PM25,, 13,,,,,,,,,, 8, 20
2017-02-10,SO2,,,,,,,,,,,,,
2017-02-10,NO2,,,,,,,,,,,,,
2017-02-11,O3,,,,,,,,,,,,,
2017-02-11,CO, 2, 2,,, 1,, 2,,, 2,, 2,
2017-02-11,PM10, 89, 109, 110,, 145,, 69, 87,, 80, 90, 103, 113
2017-02-11,PM25,, 39,,,,,,,,,, 18, 30
2017-02-11,SO2,,,,,,,,,,,,,
2017-02-11,NO2,,,,,,,,,,,,,
2017-02-12,O3,,,,,,,,,,,,,
2017-02-12,CO, 3, 2,,, 1,, 1,,, 2,, 2, 1
2017-02-12,PM10, 160, 62, 137,, 115,, 110, 178,, 92, 132, 82, 148
2017-02-12,PM25,, 40,,,,,,,,,, 31, 23
2017-02-12,SO2,,,,,,,,,,,,,
2017-02-12,NO2,,,,,,,,,,,,,
2017-02-13,O3,,,,,,,,,,,,,
2017-02-13,CO, 2, 2,,,,, 1,,, 1,, 1,
2017-02-13,PM10, 69, 41, 105,, 73,, 56, 78,, 62, 84, 43, 108
2017-02-13,PM25,, 21,,,,,,,,,, 26, 21
2017-02-13,SO2,,,,,,,,,,,,,
2017-02-13,NO2,,,,,,,,,,,,,
2017-02-14,O3,,,,,,,,,,,,,
2017-02-14,CO, 2, 2,,,,,,,, 2,, 1,
2017-02-14,PM10, 63, 54, 64,, 56,, 66, 59,, 74, 59, 47, 69
2017-02-14,PM25,, 18,,,,,,,,,, 14, 26
2017-02-14,SO2,,,,,,,,,,,,,
2017-02-14,NO2,,,,,,,,,,,,,
2017-02-15,O3,,,,,,,,,,,,,
2017-02-15,CO, 2, 2,,,,, 1,,, 1,, 1, 1
2017-02-15,PM10, 47, 34, 79,, 65,, 40, 53,, 31, 73, 34, 79
2017-02-15,PM25,, 13,,,,,,,,,, 10, 16
2017-02-15,SO2,,,,,,,,,,,,,
2017-02-15,NO2,,,,,,,,,,,,,
2017-02-16,O3,,,,,,,,,,,,,
2017-02-16,CO, 2, 2,,,,,,,, 1,, 1, 1
2017-02-16,PM10, 31, 38, 39,, 44,, 29, 60,, 27, 48, 43, 52
2017-02-16,PM25, 1, 15,,,,,, 2,,,, 10, 14
2017-02-16,SO2,,,,,,,,,,,,,
2017-02-16,NO2,,,,,,,,,,,,,
2017-02-17,O3,,,,,,,,,,,,,
2017-02-17,CO, 2, 2,,, 1,, 2,,, 2,, 2, 1
2017-02-17,PM10, 57, 55, 50,, 34,, 41, 65,, 53, 78, 60, 40
2017-02-17,PM25,, 12,,,,,,,,,, 10, 11
2017-02-17,SO2,,,,,,,,,,,,,
2017-02-17,NO2,,,,,,,,,,,,,
2017-02-18,O3,,,,,,,,,,,,,
2017-02-18,CO, 3, 2,,, 1,, 2,,, 2,, 1, 1
2017-02-18,PM10, 99, 55, 77,, 72,, 85, 94,, 69, 113, 67, 103
2017-02-18,PM25,, 29,,,,,,,,,, 15, 18
2017-02-18,SO2,,,,,,,,,,,,,
2017-02-18,NO2,,,,,,,,,,,,,
2017-02-19,O3,,,,,,,,,,,,,
2017-02-19,CO, 3, 2,,, 1,, 2,,, 2,, 2, 1
2017-02-19,PM10, 142, 70, 87,, 42,, 82, 120,, 88, 83, 78, 100
2017-02-19,PM25,, 24,,,,,,,,,, 18, 17
2017-02-19,SO2,,,,,,,,,,,,,
2017-02-19,NO2,,,,,,,,,,,,,
2017-02-20,O3,,,,,,,,,,,,,
2017-02-20,CO, 2, 2,,,,, 2,,, 2,, 1, 1
2017-02-20,PM10, 78, 41, 85,, 67,, 57, 77,, 54, 113, 48, 84
2017-02-20,PM25,, 29,,,,,,,,,, 27, 20
2017-02-20,SO2,,,,,,,,,,,,,
2017-02-20,NO2,,,,,,,,,,,,,
2017-02-21,O3,,,,,,,,,,,,,
2017-02-21,CO, 2, 2,,, 1,, 1,,, 1,, 1, 1
2017-02-21,PM10, 46, 27, 39,, 76,, 41, 82,, 32, 71, 36, 52
2017-02-21,PM25,, 20,,,,,,,,,, 9, 12
2017-02-21,SO2,,,,,,,,,,,,,
2017-02-21,NO2,,,,,,,,,,,,,
2017-02-22,O3,,,,,,,,,,,,,
2017-02-22,CO, 2, 2,,, 1,,,,, 2,,, 1
2017-02-22,PM10, 46, 57, 18,, 40,, 26, 124,, 42,,, 22
2017-02-22,PM25,, 9,,,,,,,,,, 6, 5
2017-02-22,SO2,,,,,,,,,,,,,
2017-02-22,NO2,,,,,,,,,,,,,
2017-02-23,O3,,,,,,,,,,,,,
2017-02-23,CO,,,,,,,,,, 1,,, 1
2017-02-23,PM10, 40,,,, 55,,, 62,, 55,,, 62
2017-02-23,PM25,, 7,,,,,,,,,,, 15
2017-02-23,SO2,,,,,,,,,,,,,
2017-02-23,NO2,,,,,,,,,,,,,
2017-02-24,O3,,,,,,,,,,,,,
2017-02-24,CO,, 1,,, 1,,,,,,, 1,
2017-02-24,PM10,, 53,,,,,,,,,, 166,
2017-02-24,PM25,,,,,,,,,,,,,
2017-02-24,SO2,,,,,,,,,,,,,
2017-02-24,NO2,,,,,,,,,,,,,
2017-02-25,O3,,,,,,,,,,,,,
2017-02-25,CO, 2, 2,,, 1,,,,, 2,,, 1
2017-02-25,PM10, 88, 47, 88,, 95,,, 139,, 70,,, 100
2017-02-25,PM25,, 27,,,,,,,,,, 19, 8
2017-02-25,SO2,,,,,,,,,,,,,
2017-02-25,NO2,,,,,,,,,,,,,
2017-02-26,O3,,,,,,,,,,,,,
2017-02-26,CO, 2, 2,,, 1,,,,, 2,,, 1
2017-02-26,PM10, 79, 55, 78,, 69,,, 79,, 60,,, 74
2017-02-26,PM25,, 19,,,,,,,,,,, 13
2017-02-26,SO2,,,,,,,,,,,,,
2017-02-26,NO2,,,,,,,,,,,,,
2017-02-27,O3,,,,,,,,,,,,,
2017-02-27,CO, 3, 2,,, 1,,,,, 2,,, 1
2017-02-27,PM10, 91, 57, 97,, 70,,, 79,, 59, 125,, 93
2017-02-27,PM25,, 33,,,,,,,,,,, 24
2017-02-27,SO2,,,,,,,,,,,,,
2017-02-27,NO2,,,,,,,,,,,,,
2017-02-28,O3,,,,,,,,,,,,,
2017-02-28,CO, 2, 2,,, 1,,,,, 2, 1,, 1
2017-02-28,PM10, 80, 89, 89,, 56,,, 84,, 72, 91,, 100
2017-02-28,PM25,, 30,,,,,,,,,,, 13
2017-02-28,SO2,,,,,,,,,,,,,
2017-02-28,NO2,,,,,,,,,,,,,
2017-03-01,O3,,,,,,,,,,,,,
2017-03-01,CO, 2,,,,,,,,, 2, 1,, 2
2017-03-01,PM10, 100,, 101,, 100,,, 96,, 75, 102,, 152
2017-03-01,PM25,, 37,,,,,,,,,,, 20
2017-03-01,SO2,,,,,,,,,,,,,
2017-03-01,NO2,,,,,,,,,,,,,
2017-03-02,O3,,,,,,,,,,,,,
2017-03-02,CO,, 2,,, 1,, 2,,,,,,
2017-03-02,PM10,, 30,,,,,,,,,, 39,
2017-03-02,PM25,,,,,,,,,,,,,
2017-03-02,SO2,,,,,,,,,,,,,
2017-03-02,NO2,,,,,,,,,,,,,
2017-03-03,O3,,,,,,,,,,,,,
2017-03-03,CO, 2, 2,,, 1,, 2,,, 2, 1,, 1
2017-03-03,PM10, 54, 33, 86,, 50,, 40, 45,, 35, 58,, 51
2017-03-03,PM25,, 17,,,,,,,,,, 28, 8
2017-03-03,SO2,,,,,,,,,,,,,
2017-03-03,NO2,,,,,,,,,,,,,
2017-03-04,O3,,,,,,,,,,,,,
2017-03-04,CO, 2, 2,,, 1,, 1,,, 2, 1,, 1
2017-03-04,PM10, 58, 42, 62,, 45,, 87, 47,, 46, 46,, 43
2017-03-04,PM25,, 17,,,,,,,,,,, 8
2017-03-04,SO2,,,,,,,,,,,,,
2017-03-04,NO2,,,,,,,,,,,,,
2017-03-05,O3,,,,,,,,,,,,,
2017-03-05,CO, 3, 2,,, 1,, 3,,, 2, 1,, 1
2017-03-05,PM10, 39, 51, 43,, 48,, 36,,, 41, 38,, 53
2017-03-05,PM25,, 32,,,,,,,,,,, 18
2017-03-05,SO2,,,,,,,,,,,,,
2017-03-05,NO2,,,,,,,,,,,,,
2017-03-06,O3,,,,,,,,,,,,,
2017-03-06,CO, 3, 2,,, 1,, 3,,, 2, 1,, 1
2017-03-06,PM10, 69, 60, 118,, 65,, 56,,, 55, 74,, 63
2017-03-06,PM25,, 22,,,,,,,,,,, 14
2017-03-06,SO2,,,,,,,,,,,,,
2017-03-06,NO2,,,,,,,,,,,,,
2017-03-07,O3,,,,,,,,,,,,,
2017-03-07,CO, 3, 2,,, 1,, 2,,, 2, 1,, 2
2017-03-07,PM10, 80, 65, 90,, 68,, 64,,, 68, 100,, 97
2017-03-07,PM25,, 30,,,,,,,,,,, 16
2017-03-07,SO2,,,,,,,,,,,,,
2017-03-07,NO2,,,,,,,,,,,,,
2017-03-08,O3,,,,,,,,,,,,,
2017-03-08,CO, 2, 2,,, 1,, 2,,, 2, 1, 1, 1
2017-03-08,PM10, 62, 41, 78,, 66,, 48, 62,, 59, 78, 29, 109
2017-03-08,PM25,, 23,,,,,,,,,,, 19
2017-03-08,SO2,,,,,,,,,,,,,
2017-03-08,NO2,,,,,,,,,,,,,
2017-03-09,O3,,,,,,,,,,,,,
2017-03-09,CO, 3, 2,,, 1,, 2,,, 2, 1, 2, 1
2017-03-09,PM10, 37, 44, 32,, 45,, 68, 44,, 42, 43, 44, 48
2017-03-09,PM25, 1, 20,,,,,, 4,, 2, 9, 23, 18
2017-03-09,SO2,,,,,,,,,,,,,
2017-03-09,NO2,,,,,,,,,,,,,
2017-03-10,O3,,,,,,,,,,,,,
2017-03-10,CO, 3, 2,,, 1,, 2,,, 2, 1, 2, 1
2017-03-10,PM10, 66, 56, 75,, 48,, 51, 48,, 56, 52, 57, 59
2017-03-10,PM25,, 25,,,,,,,,,, 17, 17
2017-03-10,SO2,,,,,,,,,,,,,
2017-03-10,NO2,,,,,,,,,,,,,
2017-03-11,O3,,,,,,,,,,,,,
2017-03-11,CO, 2, 2,,, 1,, 1,,, 2, 1, 2, 1
2017-03-11,PM10, 56, 37, 58,, 79,, 49, 58,, 39, 55, 39, 78
2017-03-11,PM25,, 28,,,,,,,,,, 23, 18
2017-03-11,SO2,,,,,,,,,,,,,
2017-03-11,NO2,,,,,,,,,,,,,
2017-03-12,O3,,,,,,,,,,,,,
2017-03-12,CO, 3, 2,,, 1,, 2,,, 2, 1, 1, 1
2017-03-12,PM10, 52, 24, 64,, 44,, 44, 65,, 48, 58, 22, 50
2017-03-12,PM25,, 18,,,,,,,,,, 16, 17
2017-03-12,SO2,,,,,,,,,,,,,
2017-03-12,NO2,,,,,,,,,,,,,
2017-03-13,O3,,,,,,,,,,,,,
2017-03-13,CO, 2, 2,,, 1,, 2,,, 2, 1, 2, 1
2017-03-13,PM10, 29, 78, 41,, 31,, 27, 45,, 27, 31, 36, 38
2017-03-13,PM25,, 18,,,,,,,,,, 13, 16
2017-03-13,SO2,,,,,,,,,,,,,
2017-03-13,NO2,,,,,,,,,,,,,
2017-03-14,O3,,,,,,,,,,,,,
2017-03-14,CO, 2, 2,,, 1,, 1,,, 2, 1, 1, 1
2017-03-14,PM10, 44, 22, 53,, 38,, 37, 42,, 37, 43, 26, 63
2017-03-14,PM25,, 22,,,,,,,,,, 15, 17
2017-03-14,SO2,,,,,,,,,,,,,
2017-03-14,NO2,,,,,,,,,,,,,
2017-03-15,O3,,,,,,,,,,,,,
2017-03-15,CO, 3, 2,,, 1,,,,, 2, 1, 2, 1
2017-03-15,PM10, 105, 77, 44,, 43,, 28, 60,, 48, 55, 65, 35
2017-03-15,PM25,, 13,,,,,,,,,, 9, 15
2017-03-15,SO2,,,,,,,,,,,,,
2017-03-15,NO2,,,,,,,,,,,,,
2017-03-16,O3,,,,,,,,,,,,,
2017-03-16,CO, 3, 2,,, 1,, 1,,, 2, 1, 1, 1
2017-03-16,PM10, 98, 46, 99,, 84,,, 85,, 76, 134, 35, 114
2017-03-16,PM25,, 16,,,,,,,,,, 21, 29
2017-03-16,SO2,,,,,,,,,,,,,
2017-03-16,NO2,,,,,,,,,,,,,
2017-03-17,O3,,,,,,,,,,,,,
2017-03-17,CO, 2, 2,,, 1,,,,, 2, 1, 2, 1
2017-03-17,PM10, 75, 67, 71,, 64,, 39, 55,, 42, 74, 59, 76
2017-03-17,PM25,, 13,,,,,,,,,, 12, 21
2017-03-17,SO2,,,,,,,,,,,,,
2017-03-17,NO2,,,,,,,,,,,,,
2017-03-18,O3,,,,,,,,,,,,,
2017-03-18,CO, 3, 2,,, 1,,,,, 2, 1, 2, 1
2017-03-18,PM10, 93, 73, 101,, 88,, 90, 79,, 91, 88, 65, 110
2017-03-18,PM25,, 56,,,,,,,,,, 17, 29
2017-03-18,SO2,,,,,,,,,,,,,
2017-03-18,NO2,,,,,,,,,,,,,
2017-03-19,O3,,,,,,,,,,,,,
2017-03-19,CO, 2, 2,,, 1,,,,, 2, 1, 1, 1
2017-03-19,PM10, 91, 40, 94,, 71,, 73, 78,, 58, 91, 40, 91
2017-03-19,PM25,, 34,,,,,,,,,, 23, 24
2017-03-19,SO2,,,,,,,,,,,,,
2017-03-19,NO2,,,,,,,,,,,,,
2017-03-20,O3,,,,,,,,,,,,,
2017-03-20,CO, 2, 2,,, 1,,,,, 2, 1, 2, 1
2017-03-20,PM10, 66, 48, 59,, 48,, 40, 64,, 34, 62, 51, 48
2017-03-20,PM25,, 24,,,,,,,,,, 12, 24
2017-03-20,SO2,,,,,,,,,,,,,
2017-03-20,NO2,,,,,,,,,,,,,
2017-03-21,O3,,,,,,,,,,,,,
2017-03-21,CO, 2, 2,,, 1,,,,, 2, 1, 2, 1
2017-03-21,PM10, 73, 63, 77,, 60,, 53, 71,, 63, 66, 63, 62
2017-03-21,PM25,, 28,,,,,,,,,, 19, 27
2017-03-21,SO2,,,,,,,,,,,,,
2017-03-21,NO2,,,,,,,,,,,,,
2017-03-22,O3,,,,,,,,,,,,,
2017-03-22,CO, 3, 1,,, 1,,,,, 2, 1, 2, 1
