date, pm25, pm10, o3, no2, so2, co
2020/1/10, 53, 135, , , , 1
2020/1/11, 68, 57, , , , 1
2020/1/12, 11, 63, , , , 1
2020/1/13, 39, 97, , , , 2
2020/1/14, 52, 116, , , , 1
2020/1/15, 65, 127, , , , 2
2020/1/16, 80, 52, , , , 1
2020/1/17, 31, 22, , , , 1
2020/1/18, 19, 38, , , , 1
2020/1/19, 27, 27, , , , 1
2020/1/20, 16, 30, , , , 1
2020/1/21, 12, 21, , , , 1
2020/1/22, 16, 42, , , , 1
2020/1/23, 36, 40, , , , 1
2020/1/24, 21, 42, , , , 1
2020/1/25, 24, 63, , , , 1
2020/1/26, 44, 26, , , , 1
2020/1/27, 14, 55, , , , 1
2020/1/28, 26, 43, , , , 1
2020/1/29, 16, 83, , , , 1
2020/1/30, 18, 50, , , , 1
2020/1/31, 22, 68, , , , 1
2020/2/1, 55, 44, , , , 19
2019/10/2, 10, 31, , , , 
2019/10/3, 14, 30, , , , 
2019/10/4, 15, 41, , , , 
2019/10/5, 17, 45, , , , 
2019/10/6, 21, 74, , , , 
2019/10/7, 29, 47, , , , 
2019/10/10, 28, 60, , , , 
2019/10/11, 25, 96, , , , 
2019/10/12, 33, 69, , , , 
2019/10/13, 18, 63, , , , 
2019/10/14, 23, 79, , , , 
2019/10/15, 26, 86, , , , 
2019/10/16, 30, 78, , , , 
2019/10/17, 23, 60, , , , 
2019/10/18, 30, 67, , , , 
2019/10/19, 37, 45, , , , 
2019/10/20, 20, 60, , , , 
2019/10/21, 34, 48, , , , 
2019/10/22, 23, 40, , , , 
2019/10/23, 14, 36, , , , 
2019/10/24, 14, 42, , , , 
2019/10/25, 18, 51, , , , 
2019/10/26, 18, 58, , , , 
2019/10/28, 34, 69, , , , 
2019/10/29, 28, 61, , , , 
2019/10/30, 34, 54, , , , 
2019/10/31, 28, 37, , , , 
2019/11/1, 17, 46, , , , 
2019/11/2, 29, 54, , , , 
2019/11/3, 26, 34, , , , 
2019/11/4, 18, 76, , , , 
2019/11/5, 41, 58, , , , 
2019/11/6, 28, 27, , , , 
2019/11/7, 12, 38, , , , 
2019/11/8, 18, 22, , , , 
2019/11/9, 19, 43, , , , 1
2019/11/10, 28, 56, , , , 1
