_id,date,validoorig,city,state,valororig,parametro,estacionesid,id,hora,fecha
5ccceac8e2705c1932344658,2018-01-02T14:00:00.000Z,1,Guadalajara,Jalisco,36.41,PM10,101,101PM1018010214,14,2018-01-02
5ccceac8e2705c1932344659,2018-01-02T15:00:00.000Z,1,Guadalajara,Jalisco,43.445,PM10,101,101PM1018010215,15,2018-01-02
5ccceac8e2705c193234465a,2018-01-02T16:00:00.000Z,1,Guadalajara,Jalisco,41.249,PM10,101,101PM1018010216,16,2018-01-02
5ccceac8e2705c193234465b,2018-01-02T17:00:00.000Z,1,Guadalajara,Jalisco,37.157,PM10,101,101PM1018010217,17,2018-01-02
5ccceac8e2705c193234465c,2018-01-02T18:00:00.000Z,1,Guadalajara,Jalisco,42.884,PM10,101,101PM1018010218,18,2018-01-02
5ccceac8e2705c193234465d,2018-01-02T19:00:00.000Z,1,Guadalajara,Jalisco,53.115,PM10,101,101PM1018010219,19,2018-01-02
5ccceac8e2705c193234465e,2018-01-02T20:00:00.000Z,1,Guadalajara,Jalisco,74.1,PM10,101,101PM1018010220,20,2018-01-02
5ccceac8e2705c193234465f,2018-01-02T21:00:00.000Z,1,Guadalajara,Jalisco,74.775,PM10,101,101PM1018010221,21,2018-01-02
5ccceac8e2705c1932344660,2018-01-02T22:00:00.000Z,1,Guadalajara,Jalisco,66.587,PM10,101,101PM1018010222,22,2018-01-02
5ccceac8e2705c1932344661,2018-01-02T23:00:00.000Z,1,Guadalajara,Jalisco,55.488,PM10,101,101PM1018010223,23,2018-01-02
5ccceac8e2705c1932344662,2018-01-03T00:00:00.000Z,1,Guadalajara,Jalisco,39.901,PM10,101,101PM1018010300,0,2018-01-03
5ccceac8e2705c1932344663,2018-01-03T01:00:00.000Z,1,Guadalajara,Jalisco,40.403,PM10,101,101PM1018010301,1,2018-01-03
5ccceac8e2705c1932344664,2018-01-03T02:00:00.000Z,1,Guadalajara,Jalisco,37.412,PM10,101,101PM1018010302,2,2018-01-03
5ccceac8e2705c1932344665,2018-01-03T03:00:00.000Z,1,Guadalajara,Jalisco,32.615,PM10,101,101PM1018010303,3,2018-01-03
